date,ticker,open,high,low,close,volume,adjusted_close,daily_return
2014-02-18,ACGBY,11.346,11.346,11.346,11.346,11079,4.8211,
2014-02-18,BAC,16.7,16.74,16.47,16.47,121778600,12.8998,
2014-02-18,BACHY,10.6,10.6,10.5,10.55,29516,4.5318,
2014-02-18,BCS,17.7296,17.8512,17.6992,17.831,2120900,12.0449,
2014-02-18,BK,31.85,31.95,31.69,31.76,3527900,23.6345,
2014-02-18,BNPQY,40.18,40.31,40.0,40.26,63256,21.6788,
2014-02-18,C,49.54,49.91,49.36,49.38,16217800,36.3934,
2014-02-18,CICHY,14.003,14.003,14.003,14.003,81329,6.2386,
2014-02-18,DB,44.0982,44.2232,43.866,44.0982,1510394,34.5138,
2014-02-18,GS,164.04,165.59,163.72,164.65,3399900,130.0192,
2014-02-18,HSBC,54.34,54.92,54.31,54.58,2655500,28.2255,
2014-02-18,IDCBY,12.481,12.481,12.481,12.481,61290,5.5332,
2014-02-18,ING,14.61,14.65,14.55,14.6,1349600,7.7566,
2014-02-18,JPM,58.02,58.65,57.9,58.49,14983800,42.1853,
2014-02-18,MFG,4.25,4.26,4.22,4.26,242000,2.5981,
2014-02-18,MS,29.62,29.86,29.48,29.56,10902500,21.4922,
2014-02-18,MUFG,6.1,6.15,6.05,6.13,2780500,3.931,
2014-02-18,RY,65.01,65.52,64.9,65.25,327200,40.7575,
2014-02-18,SAN,8.99,9.02,8.94,8.99,2709800,5.1384,
2014-02-18,SCBFF,21.9,22.34,21.9,22.01,40092,15.3132,
2014-02-18,SCGLY,12.948,12.948,12.948,12.948,1708341,7.5747,
2014-02-18,SMFG,9.51,9.63,9.46,9.59,1431000,5.9498,
2014-02-18,STT,67.92,68.44,67.92,68.22,3031200,49.1482,
2014-02-18,TD,45.19,45.31,44.93,44.99,577700,27.355,
2014-02-18,UBS,20.96,21.13,20.95,21.05,1836000,11.4925,
2014-02-18,WFC,46.29,46.33,46.07,46.13,12120400,32.8235,
2014-02-19,ACGBY,11.25,11.25,11.25,11.25,5338,4.7804,-0.8461131676361755
2014-02-19,BAC,16.38,16.45,16.18,16.2,137734500,12.6883,-1.6393442622950838
2014-02-19,BACHY,10.49,10.59,10.4716,10.5125,3911,4.5157,-0.35545023696683664
2014-02-19,BCS,17.22,17.24,17.01,17.03,1675100,11.8166,-4.492176546464011
2014-02-19,BK,31.63,31.83,31.1,31.13,4369600,23.1656,-1.983627204030236
