topic_id,term_rank,term,weight
0,1,federal,0.06553164244227486
0,2,reserve,0.056408215696627406
0,3,billion,0.043762127798843926
0,4,treasury,0.038823991436919635
0,5,announces,0.0374455061478306
0,6,board,0.03475902102194144
0,7,program,0.03396904678251543
0,8,bank,0.03336766773566147
0,9,financial,0.031556135345049884
0,10,credit,0.031556135345049884
1,1,purchases,0.3946511450145803
1,2,total,0.37092535236083113
1,3,stock,0.35713127715879744
1,4,preferred,0.3515725836876191
1,5,purchase,0.33871418397626346
1,6,capital,0.3222884443225452
1,7,banks,0.3181900402678384
1,8,program,0.27653577064378376
1,9,treasury,0.2647614520215791
1,10,million,0.2422544741236233
2,1,died,0.5130014860346761
2,2,people,0.4490764519784698
2,3,cdc,0.3930468720673666
2,4,united,0.3912345004367819
2,5,reports,0.3894622846185699
2,6,states,0.38114671838561165
2,7,000,0.3791946642291877
2,8,covid,0.33643320797669823
2,9,19,0.3232250626494717
2,10,china,0.10105349431019656
