topic_id,term_rank,term,weight
0,1,federal,0.03752044588327408
0,2,market,0.032076381146907806
0,3,liquidity,0.031056048348546028
0,4,facility,0.02832650952041149
0,5,reserve,0.028166715055704117
0,6,fund,0.024039536714553833
0,7,commercial,0.02248382195830345
0,8,money,0.02208486571907997
0,9,paper,0.01862126775085926
0,10,rule,0.018291423097252846
1,1,temporary,0.02946765534579754
1,2,federal,0.029173191636800766
1,3,reserve,0.028853224590420723
1,4,u.s.,0.026663832366466522
1,5,announces,0.025369495153427124
1,6,facility,0.022679684683680534
1,7,bank,0.02149001508951187
1,8,guarantee,0.018201220780611038
1,9,extension,0.018188653513789177
1,10,central,0.016026247292757034
2,1,bank,0.030498294159770012
2,2,federal,0.028693221509456635
2,3,reserve,0.021379908546805382
2,4,loan,0.01824342831969261
2,5,commission,0.017479587346315384
2,6,release,0.017420221120119095
2,7,financial,0.01641741208732128
2,8,would,0.014683295041322708
2,9,economic,0.013802273198962212
2,10,banking,0.013579568825662136
3,1,federal,0.05574144423007965
3,2,credit,0.044541411101818085
3,3,reserve,0.03704746067523956
3,4,rate,0.031027723103761673
3,5,loan,0.028985630720853806
3,6,board,0.027687711641192436
3,7,primary,0.021499138325452805
3,8,percent.,0.01946074888110161
3,9,basis,0.017248040065169334
3,10,point,0.016501450911164284
4,1,quarter,0.0416705459356308
4,2,institution,0.02861539088189602
4,3,bank,0.02710299752652645
4,4,asset,0.02625843696296215
4,5,capital,0.024729130789637566
4,6,billion,0.023913269862532616
4,7,announces,0.02378261275589466
4,8,fdic,0.02345026656985283
4,9,board,0.01920168660581112
4,10,policy,0.017726751044392586
5,1,u.s.,0.0911489725112915
5,2,purchase,0.07314174622297287
5,3,capital,0.05678833648562431
5,4,treasury,0.05511617287993431
5,5,preferred,0.04158351942896843
5,6,bank,0.04070279374718666
5,7,stock,0.04010728374123573
5,8,program.,0.03771022707223892
5,9,total,0.03675179183483124
5,10,department,0.031307440251111984
6,1,security,0.042608898133039474
6,2,federal,0.041413698345422745
6,3,loan,0.03509548678994179
6,4,facility,0.03447045758366585
6,5,reserve,0.032301243394613266
6,6,eligible,0.024351265281438828
6,7,term,0.02312815934419632
6,8,asset-backed,0.022186383605003357
6,9,business,0.02160518616437912
6,10,board,0.01903613470494747
7,1,billion,0.07722026109695435
7,2,treasury,0.03972207009792328
7,3,u.s.,0.03164432942867279
7,4,loss,0.02533012442290783
7,5,fannie,0.022714728489518166
7,6,preferred,0.021505726501345634
7,7,department,0.020992174744606018
7,8,bank,0.018031733110547066
7,9,security,0.016650471836328506
7,10,increase,0.015931835398077965
8,1,report,0.04398213326931
8,2,troubled,0.03555038943886757
8,3,state,0.035132694989442825
8,4,relief,0.034706082195043564
8,5,united,0.034438688308000565
8,6,asset,0.033003222197294235
8,7,covid-19,0.027835141867399216
8,8,program,0.024621596559882164
8,9,issue,0.018028264865279198
8,10,health,0.01723521761596203
9,1,financial,0.07414627820253372
9,2,federal,0.025258701294660568
9,3,mortgage,0.01959204487502575
9,4,u.s.,0.018301421776413918
9,5,institution,0.01825220324099064
9,6,covid-19,0.01685933582484722
9,7,risk,0.015781216323375702
9,8,rating,0.014622492715716362
9,9,authority,0.014106864109635353
9,10,reserve,0.013117910362780094
10,1,federal,0.07337907701730728
10,2,reserve,0.05545687675476074
10,3,release,0.029527150094509125
10,4,bank,0.028283623978495598
10,5,treasury,0.02774796262383461
10,6,congressional,0.027540897950530052
10,7,board,0.026650993153452873
10,8,oversight,0.026186775416135788
10,9,recent,0.0260201096534729
10,10,commission,0.025129426270723343
11,1,reserve,0.029330965131521225
11,2,announces,0.024747338145971298
11,3,order,0.022879373282194138
11,4,mask,0.02089790627360344
11,5,federal,0.020202474668622017
11,6,rate,0.018022842705249786
11,7,public,0.015229438431560993
11,8,financial,0.015061488375067711
11,9,board,0.013255962170660496
11,10,executive,0.013020065613090992
