document_id,topic,probabilities
0,10,"[0.00513896 0.00902    0.01058328 0.00583277 0.00821321 0.00639122
 0.01831562 0.00627267 0.00770334 0.00524937 0.35616253 0.00689398
 0.00805402 0.00757798 0.0071843  0.01295238 0.0049218  0.00609782
 0.0061487  0.00956144 0.00891296 0.011955   0.01096813 0.00963075
 0.00680106 0.00828792 0.00980978 0.01006375 0.01014239 0.007167
 0.00607817 0.00647807 0.00298041 0.00631988 0.01445568 0.00605992
 0.00842115 0.00910284 0.00356639 0.01078746 0.00581392 0.01232789
 0.00745821 0.00809254 0.00873469 0.00924098 0.00932236 0.00559811
 0.00651441 0.02050724 0.01014059 0.01059459 0.01050245 0.00348939
 0.00604424 0.0022812  0.00900456 0.00745299 0.00672664 0.01321493
 0.0086383  0.01327683 0.01001221 0.01029032 0.00765008 0.00707956
 0.00756055]"
1,17,"[0.00460099 0.01285539 0.00969721 0.00480309 0.00791706 0.00648357
 0.00651778 0.00553576 0.00804117 0.01017202 0.00585682 0.00352594
 0.00535697 0.00437051 0.01582038 0.00874031 0.01544799 0.21037433
 0.01033537 0.00474132 0.00666018 0.00771217 0.0056682  0.00614127
 0.03026039 0.00937628 0.00893021 0.00819207 0.00637959 0.00514498
 0.00872271 0.01755878 0.00274147 0.02830579 0.0066522  0.00467185
 0.00542994 0.007255   0.00699344 0.00440482 0.02432637 0.00671468
 0.02888457 0.00449228 0.00440933 0.00454498 0.01187276 0.02144324
 0.00696795 0.00505035 0.00473619 0.00453863 0.0065667  0.00676377
 0.01672667 0.00226927 0.00476551 0.0052279  0.06245457 0.00739708
 0.02006961 0.0079436  0.00730935 0.00824461 0.00498065 0.01894066
 0.0085251 ]"
2,-1,"[0.00537463 0.03157914 0.01892687 0.00630061 0.01289071 0.0080956
 0.01022822 0.0075853  0.01181933 0.01159162 0.00927583 0.00400936
 0.00848838 0.00663521 0.02036703 0.01612357 0.01300719 0.02897964
 0.01454307 0.00722358 0.01138552 0.01371979 0.00884245 0.00975138
 0.03426567 0.01755468 0.01672958 0.01439768 0.00987409 0.0077638
 0.00988871 0.01860401 0.00260206 0.02352391 0.01101598 0.00483689
 0.00805536 0.01277816 0.00576802 0.00523635 0.0187858  0.01081118
 0.02848164 0.00682831 0.00518792 0.00683378 0.0231258  0.01743967
 0.00998288 0.0075488  0.00716726 0.00569855 0.00972176 0.00539726
 0.01780303 0.00214759 0.00732718 0.00715158 0.06683439 0.01166309
 0.0399137  0.01272247 0.0118874  0.01509333 0.00727148 0.02375731
 0.01227706]"
3,1,"[0.00728708 0.12356176 0.0241687  0.00782473 0.01473227 0.00857836
 0.01231835 0.00965859 0.01316059 0.01001551 0.01197006 0.00589809
 0.01096127 0.00835116 0.01545659 0.02256614 0.01106176 0.01823589
 0.01330027 0.00900353 0.01505673 0.01885762 0.01095528 0.01188224
 0.02370162 0.01999148 0.02050266 0.01754595 0.01145726 0.00963143
 0.01011003 0.01379907 0.00357774 0.01713069 0.01385564 0.00708252
 0.00938025 0.01787726 0.00636839 0.00702822 0.01509474 0.01291286
 0.01881054 0.00860321 0.00692136 0.0084258  0.02290347 0.01312508
 0.01146063 0.00990039 0.00863506 0.00748395 0.0110851  0.00615907
 0.01333452 0.00307155 0.00924547 0.00888794 0.02576969 0.01350457
 0.02636574 0.01471682 0.01402644 0.02000098 0.00849414 0.01753384
 0.01267236]"
4,1,"[0.00742466 0.10439985 0.02559953 0.00791392 0.01487146 0.00867334
 0.01242678 0.00977058 0.01320298 0.01035953 0.01212554 0.00602738
 0.01123982 0.00854504 0.0158839  0.02306654 0.01127018 0.01858857
 0.01389605 0.00916567 0.01551526 0.01922856 0.0111104  0.01219202
 0.02456195 0.02102078 0.02100718 0.01827472 0.01162014 0.0098256
 0.01023976 0.01409492 0.00366875 0.01772616 0.01399923 0.00717424
 0.00961464 0.01869184 0.00653797 0.00712629 0.01523628 0.01316289
 0.01888409 0.00878286 0.00700391 0.00857713 0.02345978 0.01359487
 0.01154094 0.01008866 0.00877962 0.00759467 0.01115991 0.00631799
 0.01378906 0.00314643 0.00942982 0.00895812 0.0265467  0.01355056
 0.02725145 0.01471814 0.01428388 0.02037074 0.00871161 0.01767981
 0.01274644]"
5,30,"[4.47026313e-308 8.66258479e-308 6.88302112e-308 5.09598836e-308
 9.71346559e-308 1.46304091e-307 7.64146195e-308 5.31081681e-308
 1.33577568e-307 7.49016339e-308 6.45822366e-308 4.40232469e-308
 5.12182662e-308 4.73868882e-308 9.87369070e-308 7.70463832e-308
 9.23759668e-308 1.09374772e-307 7.30916751e-308 5.73478736e-308
 6.08905586e-308 6.59840513e-308 6.65521607e-308 5.91804014e-308
 9.44032893e-308 7.48926832e-308 7.88145093e-308 6.31416955e-308
 7.43491130e-308 5.39539061e-308 1.00000000e+000 1.24860875e-307
 2.82383801e-308 9.24482861e-308 7.43753449e-308 6.10639210e-308
 5.52330957e-308 6.42420741e-308 6.79859653e-308 5.59421180e-308
 1.08626044e-307 6.90725157e-308 1.41417722e-307 5.02240950e-308
 6.17614910e-308 5.60053804e-308 1.00487661e-307 8.79673289e-308
 9.02362840e-308 5.15494703e-308 5.69476420e-308 6.71619027e-308
 1.02972881e-307 6.15058946e-308 9.23090983e-308 2.40957525e-308
 5.47571433e-308 5.92968638e-308 1.06539353e-307 9.29504005e-308
 9.20928775e-308 1.01941862e-307 7.76955635e-308 7.49913954e-308
 5.14392326e-308 1.40197850e-307 1.69063332e-307]"
6,24,"[0.00446259 0.01387243 0.01170402 0.00465381 0.0078035  0.00633938
 0.00707962 0.00537318 0.00775772 0.01009159 0.00669153 0.00375849
 0.00560283 0.00461428 0.01361825 0.01066183 0.01109297 0.03016803
 0.01089127 0.00500396 0.00706005 0.00833764 0.00594831 0.00659779
 0.2617028  0.0108904  0.00946865 0.00959003 0.00652173 0.0053012
 0.00868186 0.01512918 0.00276948 0.06779743 0.00709098 0.00479979
 0.0057741  0.00861017 0.00608462 0.00466506 0.01540626 0.00716873
 0.01697018 0.00473824 0.0045504  0.00482327 0.01216816 0.02257485
 0.00669738 0.00584006 0.00502854 0.00480508 0.00679279 0.00608653
 0.01626934 0.00226062 0.00506547 0.00517085 0.04215678 0.00767167
 0.02798126 0.00818469 0.00758355 0.00864543 0.00529492 0.01556801
 0.00814536]"
7,33,"[4.73334038e-308 1.24352965e-307 1.14039556e-307 4.83665824e-308
 7.79818606e-308 6.83337964e-308 7.22774281e-308 5.51309326e-308
 7.87217103e-308 1.14797318e-307 6.83755363e-308 4.05335939e-308
 5.68906403e-308 4.75123713e-308 1.44378548e-307 1.02024532e-307
 1.24203198e-307 2.89549304e-307 1.18857400e-307 5.16911679e-308
 7.03184339e-308 8.18778056e-308 6.12529587e-308 6.69438702e-308
 5.77642749e-307 1.07294029e-307 9.26232268e-308 9.53907558e-308
 6.69420741e-308 5.49275555e-308 9.42365665e-308 1.73718079e-307
 3.10850383e-308 1.00000000e+000 7.19047949e-308 5.07558837e-308
 5.99898049e-308 8.49481619e-308 7.08739275e-308 5.01650794e-308
 1.50991540e-307 7.28326354e-308 1.74479005e-307 4.89055470e-308
 4.88673566e-308 5.00686115e-308 1.19360019e-307 3.23112168e-307
 6.76344056e-308 6.03349341e-308 5.20443791e-308 5.13059223e-308
 7.02252348e-308 7.16806987e-308 1.95667958e-307 2.48829283e-308
 5.22187680e-308 5.34246910e-308 3.19033761e-307 7.80831871e-308
 2.62037737e-307 8.31190778e-308 7.61088743e-308 8.44315233e-308
 5.52169240e-308 1.59877771e-307 8.34947655e-308]"
8,-1,"[0.00090535 0.00218564 0.00164433 0.00123819 0.00324226 0.00419602
 0.00210422 0.00127538 0.00835679 0.0014586  0.00165037 0.00081051
 0.0013289  0.00121383 0.00218663 0.00172236 0.00186753 0.00225774
 0.00149326 0.00153207 0.00158886 0.00173758 0.00183597 0.00152358
 0.00181456 0.00175965 0.00212405 0.00155013 0.00219709 0.00141043
 0.0037285  0.00247394 0.00048133 0.00172113 0.00212355 0.00115122
 0.00139157 0.00146056 0.00102663 0.00110969 0.00243812 0.00187315
 0.00356736 0.00130324 0.00129955 0.00146664 0.00275167 0.0016273
 0.00324352 0.0011538  0.00147393 0.00140811 0.0035007  0.00090914
 0.00181196 0.00040294 0.0014273  0.00152056 0.0021833  0.00294726
 0.00205109 0.00341275 0.00217553 0.00204826 0.00128091 0.00321324
 0.02423613]"
9,-1,"[0.00173732 0.00442079 0.00328794 0.00244505 0.00640737 0.00575041
 0.00473196 0.0025701  0.01229343 0.00268506 0.00342108 0.00151994
 0.00274227 0.00245152 0.00433666 0.00349444 0.00321756 0.00403983
 0.00285048 0.00317981 0.00331564 0.00373749 0.00402969 0.00315206
 0.00329197 0.00351185 0.00457556 0.0031601  0.00516437 0.00291698
 0.00438707 0.00452378 0.00083392 0.00308052 0.00495357 0.0019438
 0.00282456 0.00291923 0.00164294 0.00222918 0.00432819 0.00413198
 0.0073585  0.00265649 0.00261785 0.00297721 0.00615451 0.00291378
 0.00521439 0.00231675 0.00310644 0.00278671 0.008012   0.00146181
 0.00335394 0.00069209 0.00292994 0.00314214 0.00399371 0.0076422
 0.00412377 0.01018117 0.00478961 0.00446356 0.00255543 0.00595636
 0.01349441]"
