trial,fold,random_seed,n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,n_topics,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,fit_seconds
1,1,42,10,4,8,1,"(1, 2)",22,0.46961559520125057,-0.13601944950330788,0.9181818181818182,0.40985314760889324,0.4697343409061432,6.590862399985781
1,2,42,10,4,8,1,"(1, 2)",67,0.5244036999425802,-0.015869334150716303,0.8955223880597015,0.49214917067754066,0.3927256762981415,8.879926800000248
1,3,42,10,4,8,1,"(1, 2)",106,0.4883068507130823,-0.09473322869482885,0.869811320754717,0.46740111594016737,0.396756112575531,38.770134899998084
2,1,42,10,4,8,2,"(1, 2)",22,0.46792258982356155,-0.131538377198399,0.9181818181818182,0.4119758449849628,0.4594144821166992,6.025179400021443
2,2,42,10,4,8,2,"(1, 2)",59,0.5330282662774951,-0.012287113373670519,0.9016949152542373,0.49380644367021675,0.3825036585330963,9.037839600001462
2,3,42,10,4,8,2,"(1, 2)",102,0.5023453294912148,-0.059136273834616906,0.8794117647058823,0.4763175936978917,0.3810065984725952,38.275196700007655
3,1,42,10,4,8,4,"(1, 2)",17,0.4764942490011043,-0.15641538746385186,0.9352941176470588,0.3970757600139169,0.4368073642253876,5.998178799985908
3,2,42,10,4,8,4,"(1, 2)",53,0.5116155314887149,-0.04733889934586679,0.8905660377358491,0.47740214080252547,0.3939352333545685,8.854015899996739
3,3,42,10,4,8,4,"(1, 2)",87,0.508420417752476,-0.059967562491276306,0.8804597701149425,0.4802185327975781,0.3949596881866455,38.537427700008266
4,1,42,10,4,8,6,"(1, 2)",14,0.49458270287442946,-0.12224212876349791,0.9214285714285714,0.41828340930598124,0.45847415924072266,5.999494099989533
4,2,42,10,4,8,6,"(1, 2)",46,0.4957063473604596,-0.0637807761364564,0.8956521739130435,0.47327592857182027,0.38680851459503174,8.832459800003562
4,3,42,10,4,8,6,"(1, 2)",80,0.5438321844690975,-0.033283489684038596,0.88875,0.48426293167803025,0.3902338743209839,38.774599299998954
5,1,42,10,4,12,1,"(1, 2)",16,0.38687691155220083,-0.25475965010281193,0.8875,0.3724394043286641,0.5403609275817871,5.975840800005244
5,2,42,10,4,12,1,"(1, 2)",44,0.5056851671641887,-0.033613609097711813,0.9136363636363637,0.44587417466695917,0.42687931656837463,8.803085399995325
5,3,42,10,4,12,1,"(1, 2)",70,0.49586870222631013,-0.078861836207197,0.8628571428571429,0.4527044883414881,0.4526479244232178,39.27389869999024
6,1,42,10,4,12,2,"(1, 2)",16,0.3848773080328825,-0.24894857999310452,0.8875,0.3794150948524475,0.520447850227356,5.988816700002644
6,2,42,10,4,12,2,"(1, 2)",42,0.5273320842251279,-0.01195390857479385,0.9095238095238095,0.4480205799748258,0.41172781586647034,8.738402599992696
6,3,42,10,4,12,2,"(1, 2)",67,0.4832263075490263,-0.08924767826579351,0.8820895522388059,0.44910228392109275,0.43691810965538025,38.746100799995475
7,1,42,10,4,12,4,"(1, 2)",12,0.42818712708246,-0.24947966864097093,0.9083333333333333,0.3742888520161311,0.5057451128959656,5.982001099997433
7,2,42,10,4,12,4,"(1, 2)",38,0.48902701811059845,-0.09368508312305106,0.8973684210526316,0.4388812663587364,0.4349246025085449,8.827824500011047
7,3,42,10,4,12,4,"(1, 2)",60,0.5174606215822478,-0.05255936389872123,0.8983333333333333,0.46028354816269457,0.42945951223373413,38.41043270000955
8,1,42,10,4,12,6,"(1, 2)",7,0.4318258510048171,-0.21048138490042878,0.9285714285714286,0.3609711400100163,0.6330277323722839,5.9072266000148375
8,2,42,10,4,12,6,"(1, 2)",35,0.4865184080647012,-0.08896525630076407,0.9085714285714286,0.4337403489386334,0.4335651397705078,8.76188700000057
8,3,42,10,4,12,6,"(1, 2)",53,0.5502567137901595,-0.005582056783835696,0.909433962264151,0.45539336594251484,0.43867969512939453,38.282141200004844
9,1,42,10,4,16,1,"(1, 2)",11,0.449562839142367,-0.23647011426362632,0.8909090909090909,0.34698645770549774,0.5964699983596802,5.972648399998434
9,2,42,10,4,16,1,"(1, 2)",29,0.46369801851877,-0.07925142376214772,0.896551724137931,0.41073965923539524,0.4624011516571045,8.646817500004545
9,3,42,10,4,16,1,"(1, 2)",53,0.45703131078195824,-0.10890240789395153,0.8981132075471698,0.4230281541160509,0.47190698981285095,38.232242800004315
