split,topic,documents
test,-1,533
test,3,30
test,12,20
test,17,18
test,5,17
test,8,14
test,7,11
test,34,8
test,25,6
test,10,5
test,29,4
test,2,3
test,4,3
test,13,3
test,40,3
test,48,3
test,1,2
test,6,2
test,16,2
test,20,2
test,54,2
test,68,2
test,23,1
test,24,1
test,26,1
test,49,1
test,56,1
test,57,1
test,58,1
test,62,1
test,64,1
train,-1,1035
train,0,89
train,1,70
train,2,67
train,3,65
train,4,57
train,5,56
train,6,52
train,7,51
train,8,45
train,9,45
train,10,43
train,11,42
train,12,40
train,13,40
train,14,37
train,15,37
train,16,36
train,17,36
train,18,35
train,19,35
train,20,35
train,21,34
train,22,33
train,23,33
train,24,32
train,25,31
train,26,29
train,27,29
train,28,29
train,29,29
train,30,28
train,31,27
train,32,27
train,33,26
train,34,26
train,35,25
train,36,24
train,37,24
train,38,23
train,39,23
train,40,22
train,41,22
train,42,22
train,43,20
train,44,19
train,45,18
train,46,18
train,47,18
train,48,18
train,49,17
train,50,17
train,51,17
train,52,16
train,53,15
train,54,15
train,55,15
train,56,14
train,57,14
train,58,13
train,59,13
train,60,12
train,61,12
train,62,12
train,63,11
train,64,11
train,65,11
train,66,10
validation,-1,319
validation,17,24
validation,25,24
validation,31,21
validation,6,18
validation,12,13
validation,21,11
validation,8,10
validation,5,9
validation,2,7
validation,7,7
validation,30,7
validation,0,6
validation,1,6
validation,3,6
validation,42,6
validation,57,6
validation,9,5
validation,10,5
validation,26,5
validation,48,5
validation,13,4
validation,14,4
validation,22,4
validation,38,4
validation,40,4
validation,58,4
validation,60,4
validation,28,3
validation,36,3
validation,37,3
validation,24,2
validation,27,2
validation,32,2
validation,41,2
validation,49,2
validation,51,2
validation,56,2
validation,4,1
validation,11,1
validation,16,1
validation,18,1
validation,33,1
validation,35,1
validation,39,1
validation,43,1
validation,50,1
validation,52,1
validation,55,1
validation,61,1
validation,64,1
validation,66,1
