topic_id,term_rank,term,weight
0,1,nvcc,0.030742929088357577
0,2,series,0.027270310031392124
0,3,bank,0.02319326818770992
0,4,notes,0.022291904651009484
0,5,non,0.019832952750103362
0,6,announces,0.018571231927194554
0,7,tender offers,0.0179657010663792
0,8,offers,0.01793337530154192
0,9,hong,0.017833523720807588
0,10,hong kong,0.017833523720807588
1,1,japan,0.06917947664967931
1,2,japanese,0.0473235964179644
1,3,ufg,0.04169058145282628
1,4,mitsubishi ufg,0.040337947278818564
1,5,mitsubishi,0.0395816590929533
1,6,yen,0.037799310523354716
1,7,bank japan,0.031162881355955824
1,8,says,0.021962596725928686
1,9,shares japanese,0.021397655494703485
1,10,higher,0.01862968114974619
2,1,fund,0.11219336951230806
2,2,commentary,0.10485394435677435
2,3,2025 commentary,0.10364715717220563
2,4,q2 2025,0.07256049585479145
2,5,fund q2,0.0715405659384775
2,6,2025,0.07073561486070508
2,7,fund q1,0.06466703461454633
2,8,q1 2025,0.06167348904184521
2,9,international,0.060857190071760575
2,10,q2,0.05732099416359905
3,1,oil,0.11326443511041803
3,2,oil prices,0.04989674242936876
3,3,prices,0.0489760624156647
3,4,iran,0.04498297997233653
3,5,supply,0.025486282663980123
3,6,war,0.02257177821517823
3,7,india,0.0208199412301481
3,8,russian,0.019928998559827864
3,9,oil futures,0.019928998559827864
3,10,iran war,0.018795359226816726
4,1,conference,0.0992192059353328
4,2,presents,0.08593969988306632
4,3,transcript,0.06654396274205893
4,4,financials,0.05106185704761766
4,5,conference 2026,0.04898954196506488
4,6,2026 transcript,0.04650046372209805
4,7,services conference,0.0439548452420224
4,8,global financial,0.04134817781541649
4,9,ca presents,0.04134817781541649
4,10,advisory,0.038953852401086585
5,1,ai,0.1210932512484696
5,2,shifting ai,0.020409988066501104
5,3,technology,0.018534461247734026
5,4,ai innovation,0.017042040985776084
5,5,digital,0.015276936896118492
5,6,jobs,0.015109783308050566
5,7,innovation,0.01411750338273506
5,8,agents,0.013472829581951984
5,9,ai digital,0.013472829581951984
5,10,artificial intelligence,0.013472829581951984
6,1,dividend,0.1437106206486194
6,2,dividend stocks,0.11072127634138643
6,3,tsx,0.05568284995427676
6,4,stocks,0.05450122696393013
6,5,tsx dividend,0.05422784652268908
6,6,yield,0.04768090350679408
6,7,10 high,0.04712152713410226
6,8,high,0.042083969447803564
