trial,fold,random_seed,n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,n_topics,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,fit_seconds
1,1,42,15,5,10,1,"(1, 2)",102,0.6397457670739898,0.10302824730698527,0.7568627450980392,0.39528327533289004,0.4050680994987488,82.24080990001676
1,2,42,15,5,10,1,"(1, 2)",289,0.49416472950034823,-0.0009080155395390872,0.8197231833910035,0.44619536676521726,0.37802010774612427,45.556557200005045
1,3,42,15,5,10,1,"(1, 2)",983,0.4864740178774536,0.024085418147119803,0.8239064089521871,0.5095840738774344,0.33905383944511414,83.38830410002265
2,1,42,15,5,10,3,"(1, 2)",89,0.6598127863107965,0.12129460881843428,0.7910112359550562,0.4054112906910871,0.3956352174282074,75.27728370000841
2,2,42,15,5,10,3,"(1, 2)",246,0.5117320432608784,0.009113335958861449,0.8288617886178862,0.4597635266430881,0.3762657940387726,44.44410870000138
2,3,42,15,5,10,3,"(1, 2)",806,0.4875314107317848,0.029529112051865498,0.8229528535980148,0.5214476265934824,0.3357170820236206,77.53264679998392
3,1,42,15,5,15,1,"(1, 2)",68,0.6692539789025466,0.14127530618604647,0.7176470588235294,0.37917871945179427,0.4477604925632477,75.12674419998075
3,2,42,15,5,15,1,"(1, 2)",187,0.5198022705083132,0.01776342028281405,0.8213903743315508,0.43918690523979337,0.38845816254615784,43.718981799989706
3,3,42,15,5,15,1,"(1, 2)",620,0.46661439884188893,0.00506041435497236,0.8175806451612904,0.4943136764405249,0.3593246638774872,73.10072129999753
4,1,42,15,5,15,3,"(1, 2)",54,0.6506912696322527,0.13737168221137783,0.7833333333333333,0.37617383684430805,0.46006959676742554,75.0946676999738
4,2,42,15,5,15,3,"(1, 2)",166,0.5161054947943401,0.011807178846101071,0.8506024096385543,0.44942188262939453,0.39193177223205566,43.285748800000874
4,3,42,15,5,15,3,"(1, 2)",534,0.47625242047894717,0.014272945298313768,0.8232209737827715,0.5053619437311825,0.3592813014984131,72.31539249999332
5,1,42,15,5,20,1,"(1, 2)",35,0.6731809233616212,0.14000839514522978,0.8542857142857143,0.35926762223243713,0.5330941677093506,74.4928963999846
5,2,42,15,5,20,1,"(1, 2)",135,0.49868735633123257,-0.010734546665797295,0.8629629629629629,0.4263566768779529,0.42813751101493835,42.883828399993945
5,3,42,15,5,20,1,"(1, 2)",450,0.4775259795040886,0.011047840177324512,0.8017777777777778,0.48601517844143094,0.37959039211273193,70.01350960001582
6,1,42,15,5,20,3,"(1, 2)",38,0.6339227276953013,0.11712994608431054,0.8105263157894737,0.3431329718657902,0.4624369740486145,75.09459639998386
6,2,42,15,5,20,3,"(1, 2)",126,0.5149123236359029,0.00840823602337031,0.8603174603174604,0.43478234812744665,0.4115297496318817,42.78345889999764
6,3,42,15,5,20,3,"(1, 2)",402,0.48124974415273364,0.016774512791160247,0.8109452736318408,0.49229125299969234,0.3789372742176056,69.4685288000037
