split,topic,documents
test,-1,7834
test,95,308
test,132,191
test,3,181
test,41,153
test,2,129
test,29,126
test,47,115
test,1,101
test,49,93
test,23,91
test,17,83
test,10,79
test,4,74
test,28,68
test,6,67
test,31,58
test,72,56
test,25,49
test,13,46
test,77,46
test,106,45
test,20,44
test,21,44
test,230,44
test,11,41
test,33,40
test,249,40
test,88,36
test,115,35
test,36,31
test,80,31
test,154,31
test,67,30
test,101,30
test,105,30
test,353,30
test,487,30
test,30,29
test,52,29
test,93,29
test,143,29
test,178,29
test,294,29
test,16,28
test,32,28
test,71,27
test,161,27
test,35,26
test,62,26
test,63,25
test,142,25
test,255,25
test,320,25
test,15,24
test,90,24
test,0,23
test,24,23
test,107,23
test,137,23
test,141,23
test,5,22
test,54,22
test,55,22
test,69,21
test,87,21
test,84,20
test,103,20
test,267,20
test,22,19
test,58,19
test,104,19
test,242,19
test,421,19
test,14,18
test,65,18
test,70,18
test,91,18
test,134,18
test,278,18
test,373,18
test,417,18
test,8,17
test,50,17
test,304,17
test,27,16
test,44,16
test,78,16
test,172,16
test,215,16
test,407,16
test,42,15
test,68,15
test,75,15
test,127,15
test,356,15
test,612,15
test,617,15
test,37,14
test,53,14
test,94,14
test,160,14
test,195,14
test,372,14
test,469,14
test,112,13
test,122,13
test,151,13
test,211,13
test,324,13
test,415,13
test,458,13
test,109,12
test,216,12
test,269,12
test,290,12
test,431,12
test,12,11
test,19,11
test,38,11
test,57,11
test,59,11
test,118,11
test,197,11
test,268,11
test,306,11
test,313,11
test,350,11
test,369,11
test,39,10
test,99,10
test,138,10
test,140,10
test,166,10
test,221,10
test,341,10
test,348,10
test,355,10
test,462,10
test,526,10
test,7,9
test,34,9
test,180,9
test,191,9
test,233,9
test,296,9
test,317,9
test,390,9
test,624,9
test,60,8
test,97,8
test,110,8
test,176,8
test,185,8
test,212,8
test,224,8
test,239,8
test,251,8
test,263,8
test,271,8
test,284,8
test,287,8
test,336,8
test,385,8
test,395,8
test,396,8
test,410,8
test,457,8
test,505,8
test,531,8
test,533,8
test,567,8
test,45,7
test,51,7
test,76,7
test,102,7
test,114,7
test,116,7
test,119,7
test,139,7
test,158,7
test,194,7
test,273,7
test,291,7
test,337,7
test,386,7
test,416,7
test,484,7
test,636,7
test,46,6
test,96,6
test,121,6
test,124,6
test,144,6
test,152,6
test,155,6
test,156,6
test,181,6
test,182,6
test,184,6
test,196,6
test,202,6
test,203,6
test,222,6
test,223,6
test,227,6
test,240,6
test,243,6
test,250,6
test,265,6
test,274,6
test,288,6
test,323,6
test,333,6
test,352,6
test,366,6
test,383,6
test,388,6
test,434,6
test,494,6
test,540,6
test,592,6
test,83,5
test,117,5
test,126,5
test,130,5
test,135,5
test,169,5
test,170,5
test,174,5
test,192,5
test,226,5
test,235,5
test,248,5
test,252,5
test,253,5
test,270,5
test,275,5
test,289,5
test,297,5
test,298,5
test,303,5
test,308,5
test,328,5
test,381,5
test,501,5
test,517,5
test,521,5
test,528,5
test,536,5
test,552,5
test,559,5
test,565,5
test,577,5
test,586,5
test,619,5
test,9,4
test,66,4
test,85,4
test,145,4
test,149,4
test,153,4
test,159,4
test,167,4
test,179,4
test,186,4
test,187,4
test,188,4
test,189,4
test,193,4
test,209,4
test,218,4
test,261,4
test,262,4
test,264,4
test,285,4
test,299,4
test,334,4
test,349,4
test,351,4
test,363,4
test,368,4
test,375,4
test,389,4
test,425,4
test,440,4
test,447,4
