n_neighbors,n_components,min_cluster_size,min_samples,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,n_topics,fit_seconds,composite_score
30,10,20,3,0.5752,0.0716,0.8442,0.4525,0.4179,171.0,71.2503,0.7747
30,10,15,3,0.5612,0.0639,0.8473,0.4662,0.3976,222.66666666666666,71.1874,0.6637
50,10,10,3,0.5645,0.07,0.8247,0.5049,0.3562,286.0,81.5602,0.6514
50,5,20,1,0.5571,0.0546,0.8556,0.4565,0.4162,172.66666666666666,78.2102,0.6363
50,5,20,3,0.5588,0.0552,0.8544,0.4567,0.4068,156.66666666666666,78.0724,0.6237
50,10,15,3,0.5515,0.055,0.849,0.4938,0.3844,196.33333333333334,79.754,0.6136
50,5,15,3,0.5553,0.0563,0.85,0.4782,0.3855,200.66666666666666,79.3084,0.6054
50,10,20,3,0.5561,0.0497,0.8501,0.4609,0.4105,153.66666666666666,79.1118,0.5877
50,10,20,1,0.5533,0.0547,0.8408,0.4668,0.4013,172.0,79.2888,0.5684
50,10,15,1,0.5549,0.046,0.8449,0.4878,0.3791,226.0,80.3477,0.5447
