n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,n_topics,fit_seconds,cv_val_norm,npmi_val_norm,topic_diversity_norm,intra_topic_similarity_norm,inter_topic_separation_norm,composite_score
30,10,20,3,"(1, 2)",0.5752059107957058,0.0715581106347273,0.8441862655893374,0.452468889653267,0.4178885221481323,171.0,71.25031690000712,1.0,1.0,0.8369043639460176,0.3568424756066314,0.6797808725678787,0.7747055424241056
30,10,15,3,"(1, 2)",0.5611633670867527,0.06387501824828816,0.8472764285805686,0.4661600715495065,0.397624413172404,222.66666666666666,71.18737290000233,0.6585737550190693,0.7973717843609252,0.8810016755079806,0.5249246957348375,0.4564255875108184,0.6636594996267262
50,10,10,3,"(1, 2)",0.5644759307904493,0.07003029206167975,0.8246548994094577,0.5048574566753362,0.3562147915363312,286.0,81.56021096666034,0.7391144469374548,0.959706439060491,0.5581874347390628,1.0,0.0,0.6514016641474016
50,5,20,1,"(1, 2)",0.5571397220154064,0.05463565015266996,0.8556153545907644,0.45650150916489923,0.4161765476067861,172.66666666666666,78.21016576667898,0.5607440415199451,0.5536995002488512,1.0,0.4063496434745597,0.6609111279296702,0.6363408626346052
50,5,20,3,"(1, 2)",0.5588140174999522,0.05517151335535201,0.8543883215496854,0.4567337708433259,0.40679292877515155,156.66666666666666,78.07242910000302,0.6014523656046,0.5678319613888151,0.9824899662371116,0.4092010451180788,0.5574829011313983,0.6236916478960007
50,10,15,3,"(1, 2)",0.5515223479167576,0.054977896795142374,0.8490356203526317,0.49381495856242275,0.3844081958134969,196.33333333333334,79.75402473333331,0.4241648728945341,0.5627256609384,0.906105732442854,0.8644348155881406,0.31075365102891017,0.6136369465785678
50,5,15,3,"(1, 2)",0.555254431569256,0.05626524125085205,0.849985798868279,0.4782207003302488,0.3855119049549103,200.66666666666666,79.30841526667548,0.5149056484859855,0.5966771347529957,0.9196649906965058,0.6729891416659883,0.3229189660790682,0.6054311763361088
50,10,20,3,"(1, 2)",0.5560516197779503,0.04970942408020743,0.850102564102564,0.4608929987244706,0.41052279869715375,153.66666666666666,79.11175059998641,0.5342882462744484,0.42377884477689504,0.9213312564988226,0.46026254306472075,0.5985943144509969,0.5876510410131768
50,10,20,1,"(1, 2)",0.5533276909777175,0.05470501088850561,0.8407616520366684,0.46681392249269055,0.40134938557942706,172.0,79.2887846333421,0.4680594489045011,0.5555287691722077,0.7880343686610131,0.5329518126774209,0.4974830193868932,0.5684114837604072
50,10,15,1,"(1, 2)",0.5548925094449735,0.046025375099546066,0.8449396686740344,0.48779923557877697,0.3791407346725464,226.0,80.34770269999474,0.5061059812440366,0.326618452355226,0.8476555931374554,0.7905817266122954,0.25269458284717183,0.544731267239237
