trial,fold,random_seed,n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,n_topics,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,fit_seconds
1,1,42,15,5,10,1,"(1, 2)",106,0.649285007513979,0.11121776421350611,0.7235849056603774,0.7820218816036131,0.7678968906402588,93.87760610000078
1,2,42,15,5,10,1,"(1, 2)",308,0.481954651198507,-0.012193663199008562,0.7853896103896104,0.7899447579036727,0.7365161776542664,49.38707339999928
1,3,42,15,5,10,1,"(1, 2)",1031,0.4746195730140984,0.0107988962673626,0.8282250242483026,0.809168852613576,0.6820117235183716,92.39770649999991
2,1,42,15,5,10,3,"(1, 2)",87,0.6672529525634755,0.11030508603003977,0.7563218390804598,0.7866611974804025,0.7769961953163147,91.10643319999872
2,2,42,15,5,10,3,"(1, 2)",242,0.5215781058645234,0.02767958404292394,0.7805785123966942,0.7944557807511754,0.7470932602882385,50.325058100001115
2,3,42,15,5,10,3,"(1, 2)",773,0.48639151974517225,0.023896679748791894,0.7943078913324709,0.8193251921492777,0.6833571195602417,87.74521210000057
3,1,42,15,5,15,1,"(1, 2)",58,0.6654192952027814,0.1335672526957503,0.7344827586206897,0.7766883329108909,0.7937095761299133,90.04136950000066
3,2,42,15,5,15,1,"(1, 2)",203,0.51190616838301,0.018748441718354956,0.7669950738916256,0.7896025914658782,0.7515716552734375,49.58277319999979
3,3,42,15,5,15,1,"(1, 2)",637,0.4728924419897214,-0.0007471297596034672,0.7982731554160125,0.806044516859873,0.6962509155273438,84.09278190000077
4,1,42,15,5,15,3,"(1, 2)",59,0.6622673390341512,0.12745174067339315,0.747457627118644,0.7746473745866256,0.7932177782058716,89.00965459999861
4,2,42,15,5,15,3,"(1, 2)",179,0.5374636128354447,0.043477739533751135,0.770391061452514,0.7930517282314643,0.7514201998710632,47.425553999999465
4,3,42,15,5,15,3,"(1, 2)",503,0.4916349436270795,0.025708127304441223,0.7815109343936382,0.8090412362416586,0.6987869739532471,80.53898379999919
5,1,42,15,5,20,1,"(1, 2)",50,0.6330165023779954,0.10891189104705734,0.714,0.7639975625535717,0.8042636513710022,88.39119910000045
5,2,42,15,5,20,1,"(1, 2)",149,0.5336147662821336,0.03865681386007774,0.7463087248322148,0.7912793198077799,0.761358916759491,47.20403470000019
5,3,42,15,5,20,1,"(1, 2)",466,0.4797680991465923,0.005448087471162278,0.774892703862661,0.8004557889122208,0.7070343494415283,80.91527889999998
6,1,42,15,5,20,3,"(1, 2)",46,0.6609624918731,0.13172584411473792,0.717391304347826,0.763071384540824,0.8028347492218018,89.38329030000023
6,2,42,15,5,20,3,"(1, 2)",137,0.5442179957240888,0.046580212169996485,0.7656934306569343,0.7931415883394388,0.7595712542533875,48.2280856999987
6,3,42,15,5,20,3,"(1, 2)",383,0.4964628767947674,0.02569474991380422,0.7566579634464752,0.8059025697929915,0.7049451470375061,79.12407990000065
7,1,42,15,10,10,1,"(1, 2)",89,0.6360428574294862,0.0974908205652954,0.7314606741573034,0.7679452208372263,0.7754263281822205,89.39211930000056
7,2,42,15,10,10,1,"(1, 2)",301,0.47970058468140736,-0.009672264248848084,0.7870431893687707,0.7947675837660736,0.7322849035263062,51.372391299999435
7,3,42,15,10,10,1,"(1, 2)",1009,0.46075806203458686,2.0413798770617252e-05,0.8235877106045589,0.8121645265343916,0.6738404035568237,94.99638489999961
8,1,42,15,10,10,3,"(1, 2)",82,0.6683240158177729,0.1326468275751595,0.7390243902439024,0.7719768913586934,0.7733992338180542,89.58877920000123
8,2,42,15,10,10,3,"(1, 2)",251,0.49958314597240044,0.008024348860154596,0.7840637450199203,0.7976971888756004,0.7289819717407227,49.47204579999925
8,3,42,15,10,10,3,"(1, 2)",737,0.48454956757748263,0.023179054379654958,0.7962008141112619,0.8246217389034745,0.6819183826446533,87.00229190000027
9,1,42,15,10,15,1,"(1, 2)",59,0.6446322301551649,0.11874916004204468,0.747457627118644,0.7573911014356112,0.7996206879615784,88.66860449999876
9,2,42,15,10,15,1,"(1, 2)",189,0.5202689344771255,0.021659000562593515,0.7703703703703704,0.7888652924128942,0.7459776401519775,49.10559540000031
9,3,42,15,10,15,1,"(1, 2)",620,0.45311311619408984,-0.01636017860207658,0.802741935483871,0.8076089433721594,0.7004163265228271,86.26514009999846
10,1,42,15,10,15,3,"(1, 2)",50,0.6606229991939173,0.1334305690726876,0.762,0.7593411691486835,0.7990452647209167,89.39908660000037
10,2,42,15,10,15,3,"(1, 2)",165,0.5367762385468284,0.04355931865605278,0.7557575757575757,0.7887519637480477,0.739453911781311,49.70925349999925
10,3,42,15,10,15,3,"(1, 2)",499,0.48706393362017086,0.015943411905349782,0.7857715430861724,0.814672220616319,0.6940104961395264,84.09406649999983
11,1,42,15,10,20,1,"(1, 2)",49,0.6372098009061388,0.1163970403636656,0.7204081632653061,0.746868889382545,0.8042507171630859,88.82857350000086
11,2,42,15,10,20,1,"(1, 2)",140,0.5417978027026101,0.03361209213852585,0.7607142857142857,0.7889132377776232,0.7543451189994812,47.86883409999973
11,3,42,15,10,20,1,"(1, 2)",437,0.4748554098269843,0.005691171156612432,0.7791762013729977,0.8048071305353446,0.7118672728538513,80.55593000000044
12,1,42,15,10,20,3,"(1, 2)",39,0.6453702055102243,0.1379962300273857,0.735897435897436,0.7510690850180548,0.805827260017395,88.04796829999941
12,2,42,15,10,20,3,"(1, 2)",126,0.5602338061123585,0.06063327053405294,0.7595238095238095,0.7901002551118533,0.7537491321563721,48.29842469999858
12,3,42,15,10,20,3,"(1, 2)",368,0.4992548661237772,0.031568391038043445,0.7654891304347826,0.8095564233760039,0.7144928574562073,80.80753860000004
13,1,42,30,5,10,1,"(1, 2)",88,0.6737157057934615,0.1236625896408745,0.7579545454545454,0.7827254688298261,0.7687589526176453,89.07274159999906
13,2,42,30,5,10,1,"(1, 2)",251,0.49826874812280164,0.0016279683195682061,0.8063745019920319,0.7906885576560507,0.7292723059654236,56.44314259999919
13,3,42,30,5,10,1,"(1, 2)",949,0.4536056631874405,-0.006149098717421773,0.8366701791359326,0.8076107260527884,0.6738573312759399,109.46486000000004
