Topic,Count,Name,Representation,Representative_Docs
-1,40069,-1_says_blackrock_billion_new,"['says', 'blackrock', 'billion', 'new', 'credit', 'bank', 'ceo', 'banks', 'stocks', 'deal']","['Hong Kong Put Pressure on Three Major Banks to Take On Crypto Exchanges as Clients: Report', '__COMPANY__ Investment Management Announces Portfolio Management Change for __COMPANY__ India Investment Fund, Inc.', ""__COMPANY__ CEO Jamie Dimon Says Banking Crisis To Be Felt 'For Years To Come'""]"
0,3957,0_oil_fed_rate_falls,"['oil', 'fed', 'rate', 'falls', 'fall', 'drop', 'dollar', 'cut', 'higher', 'lower']","['Exchange-Traded Funds, Equity Futures Higher Pre-Bell as Investors Eye Another Interest Rate Cut for 2025', 'European stocks edge higher; inflation data in focus ahead of Fed meeting', 'Exchange-Traded Funds Higher, Equity Futures Mixed Pre-Bell Friday Amid Rate-Cut Hopes']"
1,1723,1_stock buy_dividend stock_great_buy,"['stock buy', 'dividend stock', 'great', 'buy', 'best', 'chase amp', 'dividend', 'amp best', 'according', 'buy according']","['Is __COMPANY__ Stock a Buy?', 'Is __COMPANY__ Chase &amp; Co. __TICKER__ the Best Affordable Dividend Stock to Buy According to Hedge Funds?', 'Is The __COMPANY__ Corporation __TICKER__ the Best Bank Dividend Stock to Buy Right Now?']"
2,1202,2_fined_lawsuit_sues_epstein,"['fined', 'lawsuit', 'sues', 'epstein', 'pay', 'million', 'fines', 'fraud', 'charges', 'sec']","['__COMPANY__ to Pay $6 Million to Settle SEC Charges Over Trading Data', 'Ex- __COMPANY__ CEO Jes Staley Fined in Jeffrey Epstein Probe', 'UPDATE 2- __COMPANY__ to pay $75 mln to settle lawsuit by Epstein accusers']"
3,653,3_appoints_head_names_hires,"['appoints', 'head', 'names', 'hires', 'investment banking', 'banking', 'chief', 'memo', 'director', 'americas']","['MOVES- __COMPANY__ appoints Tai as Southeast Asia investment banking head - memo', '__COMPANY__ names new corporate, investment banking head for North America - memo', '__COMPANY__ appoints new co-heads of investment banking']"
4,602,4_profit_profit rises_rises_profit beats,"['profit', 'profit rises', 'rises', 'profit beats', 'beats', 'beat', 'earnings beat', 'profit jumps', 'estimates', 'higher']","['UPDATE 3- __COMPANY__ profit tops estimates as higher rates boost interest income', 'UPDATE 3- __COMPANY__ profit beats estimates on gains from higher interest rates', '__COMPANY__ Profit Rises 9%']"
5,558,5_unit_sell_stake_talks,"['unit', 'sell', 'stake', 'talks', 'sale', 'agrees', 'acquire', 'business', 'banamex', 'mexico']","['__COMPANY__ Reportedly in Talks With Apple for Credit Card Partnership', '__COMPANY__ Chase Nears a Deal to Take Over Apple’s Credit-Card Program', '__COMPANY__ Chase nears deal to take over Apple’s credit card program - WSJ']"
6,521,6_aum_earnings beat_beat_estimates,"['aum', 'earnings beat', 'beat', 'estimates', 'revenues', 'aum rises', 'rises', 'rise', 'profit', 'cme']","['SEIC Q3 Earnings Beat Estimates as Revenues &amp; AUM Rise Y/Y, Stock Down', 'Apollo Global Stock Up as Q2 Earnings Beat Estimates, AUM Rises Y/Y', 'CME Group (CME) Q3 Earnings Beat Estimates, Revenues Rise Y/Y']"
7,508,7_present_conference_services conference_financial services,"['present', 'conference', 'services conference', 'financial services', 'services', 'speak', 'forum', 'global financial', 'corpgov', 'annual']","['Blackstone to Present at the __COMPANY__ Global Financial Services Conference', '__COMPANY__ to Present at the __COMPANY__ Financial Services Conference', '__COMPANY__ to Present at the __COMPANY__ Global Financial Services Conference']"
8,472,8_buys_llc buys_llc_sells,"['buys', 'llc buys', 'llc', 'sells', 'corp', 'ishares', 'management llc', 'buys ishares', 'vanguard', 'bond etf']","['One Capital Management, LLC Buys PowerShares QQQ Trust Ser 1, Microsoft Corp, iShares Core ...', 'Smith &amp; Howard Wealth Management, LLC Buys iShares National Muni Bond ETF, Vanguard ...', 'Private Capital Management Llc Buys Vanguard Russell 1000 Index Fund, BTC iShares Core MSCI ...']"
