n_neighbors,n_components,min_cluster_size,min_samples,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,n_topics,fit_seconds,composite_score
50,10,20,3,0.5792,0.0856,0.7643,0.7955,0.741,147.33333333333334,86.8447,0.7138
30,10,10,3,0.5675,0.0662,0.7877,0.8031,0.7298,313.0,80.5186,0.6888
30,10,15,3,0.5713,0.0723,0.7846,0.7937,0.7409,207.33333333333334,77.2926,0.6855
30,10,20,3,0.5773,0.077,0.764,0.7921,0.7444,163.33333333333334,76.5969,0.6622
30,5,20,3,0.5726,0.0789,0.7578,0.7896,0.7474,166.66666666666666,78.3749,0.6238
50,5,20,3,0.5738,0.0794,0.7606,0.789,0.7439,154.0,85.4453,0.6172
50,10,15,3,0.5664,0.0731,0.7766,0.7977,0.7276,195.0,87.4092,0.6156
30,5,10,3,0.5644,0.0646,0.7881,0.7985,0.7246,315.6666666666667,81.8436,0.608
30,5,15,3,0.5619,0.0657,0.7829,0.7912,0.7404,212.66666666666666,79.615,0.5981
50,5,15,3,0.565,0.0704,0.7775,0.7936,0.7335,197.0,86.1323,0.5967
