trial,fold,random_seed,n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,n_topics,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,fit_seconds
1,1,42,15,5,10,1,"(1, 2)",106,0.6231141595861476,0.09023477485004015,0.7839622641509434,0.4832486493343657,0.46232911944389343,91.18691639999452
1,2,42,15,5,10,1,"(1, 2)",314,0.4799524141094498,-0.003187860099689222,0.8187898089171974,0.5286938520046798,0.3750993013381958,45.71393180001178
1,3,42,15,5,10,1,"(1, 2)",1000,0.4694094693568793,0.003805211739205966,0.8197,0.5820567223401565,0.33236604928970337,88.17252960000769
2,1,42,15,5,10,3,"(1, 2)",78,0.661263346312143,0.12447122712308749,0.7884615384615384,0.49481809241314456,0.4768925905227661,82.67767019999155
2,2,42,15,5,10,3,"(1, 2)",273,0.4949370579724071,0.006191718592328077,0.8172161172161172,0.5483723159188465,0.3720051944255829,45.440506799990544
2,3,42,15,5,10,3,"(1, 2)",853,0.47940768346090795,0.014941164678351817,0.8189917936694021,0.5907930022362045,0.32917430996894836,81.80931369999598
3,1,42,15,5,15,1,"(1, 2)",55,0.6550185640009298,0.12221471178079386,0.7781818181818182,0.47351877115390917,0.5159397125244141,83.16827569999441
3,2,42,15,5,15,1,"(1, 2)",208,0.5120741922743922,0.014362901893196757,0.8038461538461539,0.5253753882867319,0.39320677518844604,44.50759150000522
3,3,42,15,5,15,1,"(1, 2)",686,0.4561411969444368,-0.005990392054312906,0.8100583090379009,0.5637497084748323,0.3463594615459442,78.88718119999976
4,1,42,15,5,15,3,"(1, 2)",55,0.656097077235845,0.12885142201651884,0.7836363636363637,0.48421043185692914,0.5096830725669861,84.19740089999686
4,2,42,15,5,15,3,"(1, 2)",195,0.5175439691433694,0.01978168020354619,0.8061538461538461,0.536685450525766,0.39509859681129456,46.320206700009294
4,3,42,15,5,15,3,"(1, 2)",596,0.4623870196074739,-0.0023271922898151333,0.8040268456375839,0.5678972126499041,0.3473912477493286,76.92672529999982
5,1,42,15,5,20,1,"(1, 2)",43,0.6759835627803353,0.14266900955144812,0.7744186046511627,0.45474213929403395,0.5314577221870422,84.15340989999822
5,2,42,15,5,20,1,"(1, 2)",159,0.5146658675434967,0.01786050664226765,0.8081761006289309,0.5117561982290165,0.40647706389427185,45.04093339999963
5,3,42,15,5,20,1,"(1, 2)",520,0.46450428483379097,0.0005354588105810605,0.7940384615384616,0.5545596566912099,0.36078616976737976,76.57177220001176
6,1,42,15,5,20,3,"(1, 2)",41,0.6786544121926312,0.1406662654593407,0.7878048780487805,0.4454769056290388,0.5343484282493591,84.5817076999956
6,2,42,15,5,20,3,"(1, 2)",139,0.5226310202034197,0.03260090174257363,0.8172661870503597,0.5210009178880489,0.40105506777763367,44.42652620001172
6,3,42,15,5,20,3,"(1, 2)",463,0.47031867458926224,0.005642638419102754,0.7920086393088553,0.5579583554482851,0.3562776744365692,74.50912860000972
7,1,42,15,10,10,1,"(1, 2)",107,0.6106862663419732,0.08883412724068221,0.7925233644859813,0.49225983023643494,0.43036189675331116,83.67612960000406
7,2,42,15,10,10,1,"(1, 2)",293,0.4868370900623435,0.004533968568090569,0.8143344709897611,0.5389073949501696,0.36969971656799316,46.292240499999025
7,3,42,15,10,10,1,"(1, 2)",1046,0.46176959942391815,-0.002775406029161626,0.8179732313575526,0.5861198591972131,0.3247496485710144,90.40924110000196
8,1,42,15,10,10,3,"(1, 2)",94,0.6116345316353216,0.0867739602106376,0.8021276595744681,0.47745342391568263,0.43780118227005005,83.46634529999574
8,2,42,15,10,10,3,"(1, 2)",256,0.5111739763613763,0.020849180840016947,0.8140625,0.5516643171713232,0.3751714527606964,46.172383199998876
8,3,42,15,10,10,3,"(1, 2)",862,0.46970789885053893,0.0044531582605983715,0.812877030162413,0.5971516404390503,0.3239804804325104,84.1565513999958
9,1,42,15,10,15,1,"(1, 2)",59,0.6465585023185174,0.11522955749156677,0.7915254237288135,0.47385381774178575,0.4967811703681946,83.00631840000278
9,2,42,15,10,15,1,"(1, 2)",194,0.4966094961731997,0.015060961424245869,0.8144329896907216,0.5311605985271198,0.3980082869529724,44.997059299988905
9,3,42,15,10,15,1,"(1, 2)",680,0.4498358034576987,-0.013409802492373835,0.8013235294117647,0.5675841883679883,0.3459957242012024,79.30669180001132
10,1,42,15,10,15,3,"(1, 2)",53,0.6594559357573216,0.12292569500638531,0.8018867924528302,0.4739526315377309,0.5034874677658081,83.11739660000603
10,2,42,15,10,15,3,"(1, 2)",180,0.5132945283816239,0.019153708430103757,0.8183333333333334,0.5326923174517495,0.40007370710372925,44.62214870000025
10,3,42,15,10,15,3,"(1, 2)",608,0.4571007419112559,-0.006376846331249186,0.8060855263157894,0.5727289933396772,0.3416760265827179,77.9002107999986
11,1,42,15,10,20,1,"(1, 2)",35,0.6773115406972903,0.1386664119944555,0.7942857142857143,0.4319540939160756,0.5373728275299072,83.06561729998793
11,2,42,15,10,20,1,"(1, 2)",146,0.5058004563355893,0.027995579327974578,0.8054794520547945,0.5195403502141829,0.40669745206832886,44.02461219999532
11,3,42,15,10,20,1,"(1, 2)",518,0.4641194434034138,-0.0020344200976883386,0.7878378378378378,0.5608512731718067,0.3576018810272217,75.9303646999906
12,1,42,15,10,20,3,"(1, 2)",34,0.6680370859584925,0.13154318432029843,0.8,0.42657899418297934,0.5376682877540588,82.99715019999712
12,2,42,15,10,20,3,"(1, 2)",141,0.5238447381642986,0.03997798370936704,0.8099290780141843,0.5249963819070627,0.4087221026420593,44.22453960000712
12,3,42,15,10,20,3,"(1, 2)",465,0.4659828255742161,0.0006360933347566865,0.7952688172043011,0.5639697419496897,0.35252293944358826,75.38638080000237
13,1,42,30,5,10,1,"(1, 2)",100,0.620064581080413,0.07266986500215773,0.785,0.5186076302353929,0.4374268352985382,84.28319089999422
13,2,42,30,5,10,1,"(1, 2)",258,0.4836463874641653,0.00048008441229684964,0.8356589147286821,0.5293852056108289,0.373058021068573,51.434590200005914
13,3,42,30,5,10,1,"(1, 2)",912,0.4597396680886642,-0.0024426581665381313,0.8245614035087719,0.581429983737568,0.32512345910072327,99.38442270000814
