split,topic,documents
test,-1,7640
test,72,707
test,81,143
test,258,136
test,2,135
test,3,133
test,64,127
test,35,112
test,0,105
test,18,105
test,1,91
test,40,91
test,101,73
test,39,69
test,31,66
test,29,62
test,16,56
test,113,56
test,120,56
test,108,55
test,6,54
test,8,53
test,302,50
test,5,46
test,24,46
test,71,46
test,77,46
test,49,45
test,17,43
test,167,40
test,146,38
test,315,36
test,73,35
test,227,35
test,34,34
test,26,33
test,4,32
test,67,32
test,176,32
test,14,30
test,245,30
test,46,29
test,308,29
test,56,28
test,85,28
test,576,27
test,76,24
test,83,24
test,361,24
test,507,24
test,12,23
test,230,23
test,78,22
test,84,22
test,188,22
test,41,21
test,88,20
test,181,20
test,447,20
test,27,19
test,97,19
test,158,19
test,417,19
test,511,19
test,21,18
test,281,18
test,374,18
test,45,17
test,52,17
test,99,17
test,128,17
test,133,17
test,205,17
test,305,17
test,13,16
test,60,16
test,111,16
test,139,16
test,180,16
test,194,16
test,297,16
test,502,16
test,520,16
test,79,15
test,147,15
test,164,15
test,174,15
test,211,15
test,269,15
test,316,15
test,567,15
test,28,14
test,47,14
test,58,14
test,69,14
test,86,14
test,215,14
test,494,14
test,534,14
test,37,13
test,95,13
test,96,13
test,119,13
test,141,13
test,148,13
test,197,13
test,221,13
test,225,13
test,273,13
test,287,13
test,330,13
test,449,13
test,15,12
test,43,12
test,48,12
test,66,12
test,123,12
test,127,12
test,213,12
test,228,12
test,293,12
test,321,12
test,527,12
test,25,11
test,36,11
test,42,11
test,74,11
test,106,11
test,118,11
test,137,11
test,157,11
test,332,11
test,444,11
test,20,10
test,30,10
test,62,10
test,82,10
test,91,10
test,124,10
test,138,10
test,163,10
test,175,10
test,179,10
test,186,10
test,243,10
test,433,10
test,38,9
test,65,9
test,105,9
test,150,9
test,151,9
test,152,9
test,170,9
test,266,9
test,292,9
test,294,9
test,326,9
test,344,9
test,363,9
test,382,9
test,51,8
test,115,8
test,125,8
test,149,8
test,196,8
test,233,8
test,283,8
test,375,8
test,441,8
test,493,8
test,568,8
test,33,7
test,63,7
test,129,7
test,145,7
test,154,7
test,161,7
test,193,7
test,204,7
test,212,7
test,216,7
test,226,7
test,268,7
test,351,7
test,359,7
test,400,7
test,402,7
test,408,7
test,409,7
test,23,6
test,102,6
test,107,6
test,110,6
test,116,6
test,168,6
test,178,6
test,183,6
test,190,6
test,199,6
test,260,6
test,267,6
test,272,6
test,275,6
test,296,6
test,329,6
test,337,6
test,348,6
test,418,6
test,438,6
test,453,6
test,472,6
test,489,6
test,22,5
test,53,5
test,55,5
test,68,5
test,90,5
test,94,5
test,98,5
test,117,5
test,135,5
test,171,5
test,192,5
test,201,5
test,206,5
test,207,5
test,208,5
test,218,5
test,234,5
test,241,5
test,250,5
test,282,5
test,284,5
test,285,5
test,288,5
test,295,5
test,317,5
test,318,5
test,322,5
test,331,5
test,334,5
test,355,5
test,357,5
test,358,5
test,360,5
test,442,5
test,450,5
test,495,5
test,501,5
test,519,5
test,525,5
test,10,4
test,11,4
test,44,4
test,54,4
test,59,4
test,92,4
test,100,4
test,130,4
test,132,4
test,144,4
test,172,4
test,185,4
test,187,4
test,214,4
test,219,4
test,239,4
test,240,4
test,256,4
test,298,4
test,310,4
test,320,4
test,333,4
test,346,4
test,366,4
test,368,4
test,387,4
test,435,4
test,446,4
test,477,4
test,503,4
test,524,4
test,535,4
test,564,4
test,61,3
test,75,3
test,126,3
test,153,3
test,177,3
test,198,3
test,209,3
test,210,3
test,232,3
test,237,3
test,242,3
test,247,3
test,249,3
test,264,3
test,277,3
test,278,3
test,299,3
test,314,3
test,350,3
test,352,3
test,376,3
test,404,3
test,413,3
test,414,3
test,416,3
test,419,3
test,424,3
test,440,3
test,459,3
test,481,3
test,514,3
test,523,3
test,528,3
test,545,3
test,555,3
test,559,3
test,87,2
test,131,2
test,140,2
test,142,2
test,155,2
test,173,2
test,189,2
test,203,2
test,217,2
test,223,2
test,231,2
test,244,2
test,246,2
test,251,2
test,253,2
test,263,2
test,265,2
test,270,2
test,271,2
test,274,2
test,301,2
test,312,2
test,313,2
test,336,2
test,340,2
test,341,2
test,342,2
test,345,2
test,349,2
test,354,2
test,369,2
test,386,2
test,397,2
test,399,2
test,420,2
test,421,2
test,423,2
test,427,2
test,428,2
test,436,2
test,439,2
test,454,2
test,461,2
test,471,2
test,474,2
test,476,2
test,480,2
test,491,2
test,497,2
test,505,2
test,538,2
test,543,2
test,547,2
test,548,2
test,553,2
test,560,2
test,70,1
test,80,1
test,103,1
test,104,1
test,112,1
test,114,1
test,122,1
test,136,1
test,143,1
test,160,1
test,165,1
test,166,1
test,169,1
test,182,1
test,200,1
test,202,1
test,222,1
test,224,1
test,229,1
test,236,1
test,255,1
test,257,1
test,259,1
test,261,1
test,262,1
test,276,1
test,291,1
test,309,1
test,327,1
test,335,1
test,339,1
test,353,1
test,362,1
test,365,1
test,370,1
test,371,1
test,373,1
test,378,1
test,380,1
test,383,1
test,384,1
test,385,1
test,389,1
test,395,1
test,401,1
test,403,1
test,410,1
test,412,1
test,415,1
test,422,1
test,425,1
test,426,1
test,430,1
test,431,1
test,432,1
test,434,1
test,448,1
test,455,1
test,457,1
test,458,1
test,460,1
test,462,1
test,469,1
test,473,1
test,478,1
test,479,1
test,484,1
test,490,1
test,496,1
test,508,1
test,513,1
test,516,1
test,517,1
test,518,1
test,522,1
test,536,1
test,537,1
test,541,1
test,544,1
test,554,1
test,556,1
test,571,1
train,-1,24283
train,0,799
train,1,577
train,2,496
train,3,493
train,4,475
train,5,473
train,6,404
train,7,391
train,8,380
train,9,366
train,10,298
train,11,288
train,12,278
train,13,268
train,14,262
train,15,249
train,16,244
train,17,234
train,18,211
train,19,203
train,20,192
train,21,187
train,22,187
train,23,185
train,24,180
train,25,180
train,26,172
train,27,171
train,28,168
train,29,164
train,30,155
train,31,153
train,32,153
train,33,151
train,34,149
train,35,148
train,36,148
train,37,147
train,38,142
train,39,141
train,40,141
train,41,141
train,42,138
train,43,137
train,44,137
train,45,136
train,46,134
train,47,134
train,48,133
train,49,129
train,50,129
train,51,125
train,52,124
train,53,124
train,54,121
train,55,121
train,56,120
train,57,120
train,58,120
train,59,118
train,60,117
train,61,117
train,62,115
train,63,113
train,64,110
train,65,110
train,66,109
train,67,108
train,68,108
train,69,107
train,70,107
train,71,106
train,72,105
train,73,104
train,74,104
train,75,104
train,76,103
train,77,102
train,78,100
train,79,99
train,80,98
train,81,97
train,82,97
train,83,96
train,84,96
train,85,96
train,86,95
train,87,95
train,88,93
train,89,92
train,90,92
train,91,92
train,92,92
train,93,91
train,94,91
train,95,90
train,96,89
train,97,86
train,98,85
train,99,85
train,100,84
train,101,84
train,102,84
train,103,81
train,104,79
train,105,77
train,106,77
train,107,76
train,108,76
train,109,76
train,110,76
train,111,75
train,112,75
train,113,75
train,114,75
train,115,74
train,116,74
train,117,74
train,118,73
train,119,73
train,120,73
train,121,72
train,122,72
train,123,71
train,124,69
train,125,68
train,126,68
train,127,68
train,128,67
train,129,67
train,130,67
train,131,66
train,132,66
train,133,66
train,134,65
train,135,64
train,136,64
train,137,64
train,138,64
train,139,64
train,140,63
train,141,63
train,142,63
train,143,63
train,144,63
train,145,62
train,146,62
train,147,61
train,148,60
train,149,60
train,150,59
train,151,59
train,152,59
train,153,59
train,154,58
train,155,58
train,156,58
train,157,57
train,158,57
train,159,56
train,160,56
train,161,56
train,162,56
train,163,55
train,164,54
train,165,54
train,166,54
train,167,52
train,168,52
train,169,52
train,170,52
train,171,52
train,172,51
train,173,51
train,174,51
train,175,51
train,176,51
train,177,51
