n_neighbors,n_components,min_cluster_size,min_samples,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,n_topics,fit_seconds,composite_score
50,10,20,3,0.5646,0.0721,0.8103,0.5343,0.4052,173.66666666666666,88.6121,0.741
50,10,10,3,0.5607,0.0592,0.8227,0.5732,0.361,312.6666666666667,88.4856,0.7292
50,5,20,3,0.5633,0.0696,0.7995,0.5251,0.4111,171.33333333333334,84.8245,0.6546
50,10,15,3,0.5492,0.0541,0.8155,0.5458,0.3956,219.66666666666666,86.6462,0.6331
50,5,20,1,0.5618,0.0673,0.7949,0.5178,0.4175,197.0,85.5163,0.6103
15,5,20,3,0.5572,0.0596,0.799,0.5081,0.4306,214.33333333333334,67.8391,0.5886
15,10,20,3,0.5526,0.0574,0.8017,0.5052,0.433,213.33333333333334,67.536,0.5718
30,5,10,3,0.5512,0.0473,0.8083,0.5553,0.3788,339.3333333333333,76.7924,0.5564
30,5,20,3,0.5499,0.0567,0.7997,0.5166,0.4213,186.66666666666666,74.4792,0.5465
30,5,15,3,0.5469,0.0486,0.8083,0.5303,0.4067,236.33333333333334,75.4038,0.5465
