n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,n_topics,fit_seconds,cv_val_norm,npmi_val_norm,topic_diversity_norm,intra_topic_similarity_norm,inter_topic_separation_norm,composite_score
50,10,20,3,"(1, 2)",0.5646085767459524,0.07213067619753825,0.8103269179237401,0.5343004465028569,0.4051826298236847,173.66666666666666,88.6121195666686,1.0,1.0,0.6622186206157898,0.43678413352513484,0.6060303906648657,0.7410066289611581
50,10,10,3,"(1, 2)",0.5607240433793895,0.059154047254219376,0.8226623376623378,0.5732230776994811,0.36102192600568134,312.6666666666667,88.48557273332942,0.9133772409672745,0.732779922320577,1.0,1.0,0.0,0.7292314326575703
50,5,20,3,"(1, 2)",0.5632846988823513,0.06955690000435007,0.7994529593213803,0.5250853470276723,0.41112125913302106,171.33333333333334,84.82447613333352,0.9704783194412494,0.9469997425928327,0.36445650032255084,0.30344036728925095,0.6875279559025762,0.654580577109692
50,10,15,3,"(1, 2)",0.5491799444987373,0.054054451104210664,0.8154855575992915,0.5457910580674734,0.3956357737382253,219.66666666666666,86.64621820000077,0.655950775231059,0.6277669420395449,0.8034778936911596,0.6030548749865416,0.475016062928234,0.6330533097753078
50,5,20,1,"(1, 2)",0.5617644061138564,0.06734647365622796,0.7949074074074075,0.5177860210425315,0.41754817962646484,197.0,85.51627003333608,0.9365767045708235,0.9014817345624079,0.23998543828321314,0.19781810890091903,0.7757264853794977,0.6103176943393722
15,5,20,3,"(1, 2)",0.5572013689951044,0.05963660187367236,0.7990265681359986,0.5081453929884576,0.4305603901545207,214.33333333333334,67.83912083333901,0.8348237197213806,0.7427168854146154,0.35278061042114517,0.05831688516792486,0.9542968963546121,0.5885869994159356
15,10,20,3,"(1, 2)",0.5526215498990025,0.057385753788140724,0.8017326317394952,0.5051817060132439,0.4329711099465688,213.33333333333334,67.53602353333554,0.7326965068648893,0.6963664963507425,0.4268808774619481,0.01543192399268799,0.9873799165750197,0.5717511442490576
30,5,10,3,"(1, 2)",0.5512148444597158,0.04730461932907715,0.8083432260459884,0.5553135339633285,0.3787517845630646,339.3333333333333,76.79236700000183,0.7013278211570432,0.48877163138123547,0.6078990925462567,0.7408464206191298,0.2433120892331282,0.5564314109873587
30,5,20,3,"(1, 2)",0.5498719728729566,0.05666696062368276,0.7997135545884467,0.5166252027352488,0.42129048705101013,186.66666666666666,74.47920173332871,0.6713825919892327,0.6815648120241833,0.3715923927879912,0.1810209071533458,0.8270832762456934,0.5465287960400893
30,5,15,3,"(1, 2)",0.5468674791605794,0.04856420478496534,0.8083418772156366,0.5302780931470451,0.40670672059059143,236.33333333333334,75.40383060000022,0.6043841882419972,0.514709532883737,0.6078621574612365,0.37858012313546435,0.6269459387205255,0.546496388088592
15,5,10,3,"(1, 2)",0.5452026959151527,0.04853470346458913,0.8082231497823527,0.5446611368560652,0.3926906983057658,401.3333333333333,69.97583023332602,0.5672605225910271,0.5141020295670427,0.6046110385666038,0.5867047584973256,0.43459992231991135,0.5414556543083822
30,10,20,3,"(1, 2)",0.5492828624391296,0.05385636642834877,0.8019865635758983,0.5207054120880668,0.41387902696927387,190.66666666666666,76.86352930000187,0.6582457834365453,0.6236879009648464,0.4338343048918569,0.24006210183613275,0.7253736190073826,0.5362407420273527
15,10,15,3,"(1, 2)",0.5432837353500671,0.04523418570174662,0.808768550700651,0.526457980776386,0.41507906715075177,280.3333333333333,68.5465853666683,0.5244688555008336,0.44613641100605445,0.6195457775867758,0.32330256782315153,0.7418421251025709,0.5310591474038773
30,10,20,1,"(1, 2)",0.5464546883750648,0.05481057909889991,0.8013872527447727,0.5159762106795459,0.41813374559084576,209.0,75.54978543333225,0.5951792018587296,0.6433374405379607,0.4174233481909632,0.1716299021839871,0.7837623801790082,0.5222664545901298
50,5,10,3,"(1, 2)",0.5453178580070327,0.04484320895224492,0.8132098948364607,0.5549825216868735,0.36845462520917255,315.3333333333333,87.54268853332906,0.5698285680145764,0.438085257056208,0.7411633131311568,0.736056627114275,0.10200112798360457,0.5174269786599641
15,10,20,1,"(1, 2)",0.5490771468120977,0.054875857074913915,0.7958676680594489,0.5041152391006883,0.4338907202084859,233.0,67.67353139999129,0.6536584486119729,0.6446816714547429,0.2662803009217329,0.0,1.0,0.5129240841976898
15,5,15,3,"(1, 2)",0.5453426886622295,0.04876863664341663,0.7979390184759313,0.5295976983441998,0.41739097237586975,282.0,69.14811096666865,0.5703822766994465,0.5189192777515386,0.32300018688380033,0.36873471606383873,0.7735690838152895,0.5109211082427827
30,10,15,3,"(1, 2)",0.5501454295144032,0.054643222069778445,0.796752306146478,0.5355942219545583,0.39678069949150085,249.0,76.17122156666301,0.67748051071528,0.6398911557965711,0.29050438730263695,0.45550524357478406,0.4907282174355403,0.5108219029649625
50,5,15,3,"(1, 2)",0.5432301523298109,0.047270240888583955,0.8056131271023398,0.5370999445398655,0.3986417353153229,223.66666666666666,85.96186963333457,0.5232739863585429,0.4880636964021885,0.5331406646546215,0.4772932580147775,0.5162677620949796,0.507607873505022
15,5,20,1,"(1, 2)",0.551717905052541,0.05368832500143228,0.7922110556061851,0.5070193314047534,0.43290698528289795,240.66666666666666,68.58870516666987,0.7125457699810269,0.6202275228227169,0.16615110998126056,0.04202261802636968,0.9864999148627316,0.5054893871348212
50,5,15,1,"(1, 2)",0.5478348318581167,0.05197983163460127,0.7948898495096487,0.5342246420706472,0.4050539533297221,266.3333333333333,86.64088829999673,0.625955571909263,0.5850455250794265,0.23950464954235648,0.43568723288771577,0.6042645251064971,0.49809150090505183
50,10,20,1,"(1, 2)",0.5527414289531118,0.062234096243072495,0.786143392298666,0.5228531265362538,0.4095356961091359,196.0,86.48580316667115,0.7353697377107284,0.7962055572564909,0.0,0.27113982748539917,0.6657688058956162,0.4936967856696469
30,10,10,3,"(1, 2)",0.5389858869049229,0.04436712237529688,0.806017064385035,0.5634797173904714,0.37228341897328693,351.3333333333333,79.50228923333634,0.4286294186646113,0.42828148655233717,0.5442016982817589,0.8590122263036615,0.15454479644967364,0.4829339252504085
15,5,15,1,"(1, 2)",0.5410779844065863,0.0435290738732259,0.7973620936886242,0.5208812893051578,0.4185019830862681,316.3333333333333,68.85434946666646,0.4752819353657109,0.4110240472897443,0.3072022282745958,0.24260706953671535,0.7888158121652369,0.44498621852640063
30,5,20,1,"(1, 2)",0.5377362607413927,0.045826606314453254,0.798537037037037,0.5076158003218264,0.42751187086105347,208.33333333333334,74.77973563333701,0.40076350638381586,0.45833577979727375,0.3393757572939099,0.05065360590222852,0.9124611650677359,0.4323179628889927
30,5,15,1,"(1, 2)",0.5405973947374748,0.047346632745429273,0.7967757112192612,0.5253971429098045,0.4052942395210266,273.0,75.7990876333303,0.4645650746329906,0.4896367889217825,0.2911452895124385,0.307952096905661,0.607562043528934,0.4321722587003613
50,10,10,1,"(1, 2)",0.5354443668876755,0.03346040339684985,0.8086319527811124,0.5641414280044955,0.36809643109639484,382.0,90.20282676666586,0.34965565113200436,0.20368584577547702,0.6158053103257891,0.8685872705741916,0.09708552430583815,0.42696392042266007
50,10,15,1,"(1, 2)",0.5360189225109769,0.03965809899389123,0.8028886517090221,0.5342237455968449,0.3980029225349426,261.3333333333333,87.4806543666685,0.3624678961590499,0.33131134128041684,0.4585362267064241,0.4356742607875824,0.5075011455018419,0.41909817408706296
15,10,15,1,"(1, 2)",0.5310012673164719,0.038960238807812936,0.8024273142771,0.5241995348789646,0.4135950605074565,311.0,69.103356500001,0.2505772014969287,0.3169407174498549,0.44590340209092894,0.290622542760687,0.7214766633225244,0.4051041054241848
30,10,15,1,"(1, 2)",0.5379676729257087,0.042237684933116214,0.7961850442938901,0.5290140313156203,0.4008762538433075,285.0,76.64801343333481,0.405923858989302,0.38443123536626483,0.2749710292897268,0.36028897328829085,0.5469327202904676,0.3945095634448104
15,10,10,3,"(1, 2)",0.5308388022824123,0.03735876643708431,0.8096890632456271,0.5420897938420187,0.37898437182108563,404.0,71.2650932999968,0.24695432889716531,0.283962540052875,0.6447522159384088,0.549497068802753,0.24650395291861377,0.39433402132196316
30,10,10,1,"(1, 2)",0.5259902382408246,0.03263347384445792,0.8048154871227032,0.5522533634935884,0.3736523687839508,410.3333333333333,79.28006713332918,0.1388342653022914,0.18665737249549233,0.5112988515438291,0.6965653299094934,0.1733312993092364,0.34133742371206854
50,5,10,1,"(1, 2)",0.5230315581127013,0.026617819395939237,0.8152120645164987,0.5487267216653046,0.3657052119572957,386.6666666666667,89.25273319999785,0.07285747694479963,0.06278054315505203,0.7959888197305285,0.6455343340081762,0.0642701173094769,0.3282862582296066
30,5,10,1,"(1, 2)",0.5211502122110808,0.02356909708263882,0.8150734394124847,0.5431409398612633,0.3785361051559448,423.3333333333333,78.36740126666943,0.030904594239232315,0.0,0.7921928419816207,0.5647072973463928,0.24035225698285814,0.3256313981100208
15,5,10,1,"(1, 2)",0.5241586810174922,0.030284042163185632,0.8074840243560469,0.531333074559734,0.38993149002393085,473.3333333333333,75.02445926667133,0.09799164019395074,0.13827690950203397,0.5843715322242058,0.39384585035366915,0.39673449155464197,0.3222440847657003
15,10,10,1,"(1, 2)",0.5197643186094116,0.030197563259870386,0.808277022277765,0.5390956947946058,0.3749370872974396,482.0,73.45920373333502,0.0,0.13649610037491247,0.6060862316444938,0.5061720407289452,0.19096187118220043,0.2879432487861104
