Topic,Coefficient,Abs_Coefficient,Importance_Score,Cumulative_Importance
topic_29_lag1,-4.261818360435881,4.261818360435881,0.12266993090402571,0.12266993090402571
topic_139_lag1,3.435087060015518,3.435087060015518,0.0988737333841509,0.22154366428817662
topic_187_lag1,-2.882526874809385,2.882526874809385,0.08296913257600677,0.3045127968641834
topic_66_lag1,-2.7038365379850897,2.7038365379850897,0.07782580420825073,0.38233860107243417
topic_111_lag1,2.493911260698528,2.493911260698528,0.07178342579559656,0.4541220268680307
topic_101_lag1,-2.1475638211725903,2.1475638211725903,0.06181434384929614,0.5159363707173269
topic_2_lag1,2.099775714363807,2.099775714363807,0.06043883619869132,0.5763752069160182
topic_88_lag1,-1.865203498815361,1.865203498815361,0.05368703332026243,0.6300622402362807
topic_249_lag1,-1.592380257708983,1.592380257708983,0.04583423310563553,0.6758964733419162
topic_238_lag1,-1.4144827420141923,1.4144827420141923,0.040713724882932706,0.7166101982248488
topic_400_lag1,1.3276726774174628,1.3276726774174628,0.03821502978960975,0.7548252280144586
topic_11_lag1,-1.1408663126607832,1.1408663126607832,0.032838093956335426,0.787663321970794
topic_46_lag1,1.0641396296062418,1.0641396296062418,0.030629633596745382,0.8182929555675394
topic_590_lag1,0.8463024354152626,0.8463024354152626,0.024359522742701097,0.8426524783102406
topic_476_lag1,-0.837489739492119,0.837489739492119,0.024105862753339268,0.8667583410635799
topic_130_lag1,-0.76123144025721,0.76123144025721,0.02191088410646703,0.8886692251700469
topic_582_lag1,0.6932248463731174,0.6932248463731174,0.019953418192333948,0.9086226433623809
topic_153_lag1,0.5772686777765308,0.5772686777765308,0.016615797020655475,0.9252384403830364
topic_144_lag1,-0.4770420165521229,0.4770420165521229,0.013730925689376625,0.938969366072413
topic_33_lag1,-0.46240342257820827,0.46240342257820827,0.0133095761246034,0.9522789421970164
topic_612_lag1,-0.42808231694403254,0.42808231694403254,0.01232169552983692,0.9646006377268533
topic_296_lag1,-0.3371898564524003,0.3371898564524003,0.009705494907184137,0.9743061326340374
topic_155_lag1,-0.20424172358694878,0.20424172358694878,0.005878786001937369,0.9801849186359748
topic_86_lag1,0.2033388954454724,0.2033388954454724,0.005852799473097648,0.9860377181090725
topic_177_lag1,0.1809106341701652,0.1809106341701652,0.00520723623500179,0.9912449543440742
topic_17_lag1,-0.16175366556708826,0.16175366556708826,0.004655832159059499,0.9959007865031337
topic_36_lag1,0.07494371586533312,0.07494371586533312,0.00215714037281286,0.9980579268759466
topic_38_lag1,0.040457543626587406,0.040457543626587406,0.0011645085879991599,0.9992224354639458
topic_57_lag1,-0.027014271482489482,0.027014271482489482,0.0007775645360541953,1.0
