trial,fold,random_seed,n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,n_topics,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,fit_seconds
1,1,42,15,5,10,1,"(1, 2)",42,0.5559979912038798,-0.06922718999055101,0.85,0.7375250771641731,0.7883901596069336,72.95829430001322
1,2,42,15,5,10,1,"(1, 2)",408,0.4496843333631522,-0.04692374285185492,0.8551470588235294,0.7974386463004551,0.6971631050109863,51.532367900013924
1,3,42,15,5,10,1,"(1, 2)",796,0.4431631548243142,-0.0225266589145479,0.8618090452261307,0.8008845390254304,0.676957368850708,73.20439719999558
2,1,42,15,5,10,3,"(1, 2)",41,0.5293022016109775,-0.08108539392041142,0.8829268292682927,0.7406700357794762,0.7736386060714722,67.68035979999695
2,2,42,15,5,10,3,"(1, 2)",311,0.4823639146316244,0.001959021278725823,0.8459807073954984,0.807919336350884,0.7019839882850647,50.76055420000921
2,3,42,15,5,10,3,"(1, 2)",577,0.4559236084393331,-0.00546831909755407,0.8346620450606586,0.8088657098233433,0.667424738407135,70.39553660000092
3,1,42,15,5,15,1,"(1, 2)",26,0.5299631727037448,-0.08043952648154189,0.9230769230769231,0.7298384952545166,0.803117573261261,68.21155920001911
3,2,42,15,5,15,1,"(1, 2)",249,0.45783337176003747,-0.040874158784070906,0.8232931726907631,0.7943711632203847,0.7121776938438416,49.15962170000421
3,3,42,15,5,15,1,"(1, 2)",466,0.4335382400850275,-0.04034700168932118,0.8274678111587983,0.796836719308093,0.7033718824386597,68.49150000000373
4,1,42,15,5,15,3,"(1, 2)",11,0.7391244838433103,0.02306499963960728,0.9181818181818182,0.7043078720569611,0.8622822165489197,66.88212209998164
4,2,42,15,5,15,3,"(1, 2)",193,0.47608723793174873,-0.020637197822776603,0.822279792746114,0.803662945045514,0.714674174785614,48.00590950000333
4,3,42,15,5,15,3,"(1, 2)",363,0.4595452388841117,-0.010482777746371026,0.815702479338843,0.8048394958052454,0.6882687211036682,65.59783539999626
