n_neighbors,n_components,min_cluster_size,min_samples,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,n_topics,fit_seconds,composite_score
30,10,20,3,0.5988,0.0376,0.8588,0.7713,0.7532,122.0,66.1094,0.7957
50,10,20,3,0.5743,0.0365,0.8661,0.768,0.7474,104.33333333333333,105.2987,0.7449
50,5,20,3,0.5739,0.0369,0.8745,0.7603,0.7399,114.66666666666667,104.8067,0.7035
50,10,10,3,0.5865,0.0167,0.8524,0.7848,0.7276,234.33333333333334,107.2071,0.6952
30,5,20,3,0.5854,0.0227,0.8603,0.7651,0.7492,125.33333333333333,64.9694,0.6938
30,10,20,1,0.5807,0.016,0.8652,0.7638,0.7508,153.66666666666666,65.8274,0.6914
30,5,20,1,0.5822,0.0206,0.8633,0.76,0.7552,158.0,65.2055,0.6866
15,10,20,3,0.5657,0.0091,0.8613,0.7654,0.7597,142.66666666666666,60.3855,0.6816
50,10,20,1,0.5813,0.0177,0.8629,0.7641,0.7481,140.0,102.9991,0.6773
30,10,10,3,0.5842,0.0168,0.8515,0.7786,0.7331,247.66666666666666,67.1978,0.6673
