n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,n_topics,fit_seconds,cv_val_norm,npmi_val_norm,topic_diversity_norm,intra_topic_similarity_norm,inter_topic_separation_norm,composite_score
30,10,20,3,"(1, 2)",0.5987590638828805,0.03764825001935921,0.8588165266106443,0.7713435419726041,0.7531935572624207,122.0,66.10943416666123,1.0,1.0,0.650881753627065,0.5215805383260983,0.8058471060575698,0.7956618796021466
50,10,20,3,"(1, 2)",0.5743241584962004,0.036548362260969226,0.8660799319727891,0.7679738749576349,0.7474131981531779,104.33333333333333,105.29865859999943,0.8187600682474802,0.9880898522482379,0.8120961870195365,0.41020682684037896,0.6954014741522258,0.7449108817015719
50,5,20,3,"(1, 2)",0.573927276607591,0.0369230796023938,0.8745458089668615,0.7603494165246332,0.7398608922958374,114.66666666666667,104.80674479999773,0.8158162939513621,0.9921474834633057,1.0,0.1582044093968398,0.5510991605775136,0.7034534694778043
50,10,10,3,"(1, 2)",0.5864753140958788,0.01674086772482855,0.8524405872838123,0.7848391050970512,0.7275839845339457,234.33333333333334,107.2071486999824,0.9088882916536761,0.7736041606691415,0.50936501393398,0.9676337973224379,0.31652362470161627,0.6952029776561705
30,5,20,3,"(1, 2)",0.5854332169926965,0.022736584494927454,0.8603299187892212,0.765096616983501,0.7492125233014425,125.33333333333333,64.96937453334492,0.9011587913805452,0.8385288514522502,0.6844721496472889,0.315108142591274,0.7297812763838033,0.6938098422910323
30,10,20,1,"(1, 2)",0.5807380121577547,0.016001108263035604,0.8652336435390301,0.7637654800610214,0.7508171399434408,153.66666666666666,65.82739489999949,0.8663332583824586,0.7655936664859757,0.7933124480523954,0.2711116115116059,0.7604407727303111,0.6913583514325493
30,5,20,1,"(1, 2)",0.5821860986586672,0.020580971534766013,0.8632684674218222,0.7600341223554863,0.7551624377568563,158.0,65.20546243332986,0.8770740856721031,0.8151867707214697,0.7496945114983846,0.1477833554257205,0.8434666113935521,0.686641066942246
15,10,20,3,"(1, 2)",0.5656630608320188,0.009139985648174418,0.8613440860215054,0.7654235377290929,0.7596583962440491,142.66666666666666,60.385495666666735,0.754518495598957,0.6912979181583727,0.7069820313854094,0.32591347636357393,0.9293711316411263,0.6816166106294879
50,10,20,1,"(1, 2)",0.5813128875162336,0.017689070067758658,0.862887171721094,0.7640778622967691,0.7481349507967631,140.0,102.99914280000182,0.8705972556882846,0.7838717810846969,0.7412314879876424,0.28143642071170605,0.709192040671295,0.677265797228725
30,10,10,3,"(1, 2)",0.5841815830340065,0.016790032327753817,0.8514884106410152,0.7785626405840343,0.7331156929334005,247.66666666666666,67.19779646666332,0.8918751027530555,0.7741365401601668,0.48823104022543345,0.7601850658253034,0.42221827414250884,0.6673292046212935
