n_neighbors,n_components,min_cluster_size,min_samples,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,n_topics,fit_seconds,composite_score
50,10,20,3,0.5019,-0.0241,0.8343,0.5177,0.433,138.0,71.5537,0.7063
30,5,20,3,0.4935,-0.0375,0.8594,0.4965,0.4503,158.66666666666666,62.8257,0.68
50,5,20,3,0.491,-0.032,0.8556,0.5113,0.4169,138.0,71.4407,0.6751
50,10,20,1,0.4898,-0.0315,0.8385,0.5087,0.432,160.33333333333334,72.2235,0.6189
50,5,15,3,0.4718,-0.0556,0.8557,0.5243,0.3964,174.33333333333334,72.0741,0.572
15,5,20,3,0.5091,-0.0319,0.8249,0.5042,0.4233,177.66666666666666,56.9492,0.5698
15,10,20,3,0.5021,-0.0378,0.8216,0.5015,0.4439,184.66666666666666,57.2534,0.5502
30,10,20,3,0.4728,-0.0426,0.8474,0.5111,0.4114,156.33333333333334,63.0644,0.543
30,10,15,3,0.4733,-0.0635,0.8539,0.5215,0.3953,196.33333333333334,64.0153,0.5266
15,10,10,3,0.4579,-0.0658,0.8643,0.5265,0.385,340.6666666666667,59.8444,0.5249
