n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,n_topics,fit_seconds,cv_val_norm,npmi_val_norm,topic_diversity_norm,intra_topic_similarity_norm,inter_topic_separation_norm,composite_score
50,10,20,3,"(1, 2)",0.5018990247198968,-0.024066686538719195,0.8342995169082125,0.5176769759172298,0.43301403522491455,138.0,71.55371283333322,0.8990097909664069,1.0,0.27667818904811514,0.5510551052131,0.8048334924790362,0.7063153155413315
30,5,20,3,"(1, 2)",0.4934593035079273,-0.03746481370752384,0.8594015752836514,0.4965292740686267,0.45033563176790875,158.66666666666666,62.82569956665975,0.7813350721796243,0.7970423216679213,0.821537054647727,0.0,1.0,0.6799828896990545
50,5,20,3,"(1, 2)",0.49103542914339116,-0.03204391021722913,0.8556265589373977,0.51133693149574,0.4169292151927948,138.0,71.4406727666598,0.747539082115786,0.8791593200357338,0.7395975143408537,0.38584973818308516,0.6236020371694667,0.6751495383689851
50,10,20,1,"(1, 2)",0.48984139235915686,-0.031535055082733014,0.8384851070431276,0.5086524141004246,0.43200498819351196,160.33333333333334,72.22348516666291,0.7308906716675152,0.8868675657781053,0.3675295391113516,0.3158980703227956,0.7934643219436048,0.6189300337646745
50,5,15,3,"(1, 2)",0.47177539830739806,-0.05562695992781156,0.8557121212121211,0.5243419952753935,0.39643874764442444,174.33333333333334,72.07407909999408,0.47899718890301635,0.5219182700780894,0.7414547072151065,0.7247284892031821,0.39273111375539355,0.5719659538309576
15,5,20,3,"(1, 2)",0.5091421200777569,-0.03191063169181967,0.824885231870526,0.5042197920354702,0.4232732852300008,177.66666666666666,56.94924869999522,1.0,0.881178251469047,0.07233412334057233,0.20039525891283094,0.695082168320002,0.5697979604084905
15,10,20,3,"(1, 2)",0.5021150786953035,-0.03783890327916681,0.8215527443195837,0.5015100835097949,0.44393311937650043,184.66666666666666,57.25343243333433,0.9020222235053742,0.7913755333181528,0.0,0.12978717452604102,0.9278613850813744,0.5502092632861885
30,10,20,3,"(1, 2)",0.47275808976517997,-0.04262185083247399,0.8474360208218309,0.5110967425334688,0.41144896546999615,156.33333333333334,63.0643605000029,0.4926988193294643,0.7189224270912226,0.561815786661317,0.3795910271977062,0.5618547729327915,0.5429765666425003
30,10,15,3,"(1, 2)",0.473282215243771,-0.06351470686953291,0.8538747356933362,0.5214573520874302,0.39526814222335815,196.33333333333334,64.01533533333956,0.5000066813729069,0.40243300274236027,0.701572886590632,0.6495620542484363,0.3795416267962935,0.5266232503501258
15,10,10,3,"(1, 2)",0.45792158342701894,-0.06582010836057807,0.8642661770823046,0.5264612801233003,0.38499980171521503,340.6666666666667,59.84437519999725,0.28583396357506374,0.3675102909072864,0.9271268583986987,0.7799516403143724,0.26384581607607016,0.5248537138542982
30,10,10,3,"(1, 2)",0.46177632813982133,-0.06891796659595521,0.86189749071105,0.5334036521810961,0.3689198891321818,288.0,65.42807286667328,0.3395805256570602,0.32058327586014157,0.8757127572162317,0.9608521273802915,0.08266965415107287,0.5158796680529596
30,5,15,3,"(1, 2)",0.46558945921959505,-0.07058507047754295,0.8616151866151865,0.5151098327619806,0.4085753659407298,200.0,63.359116566668185,0.39274687040232736,0.2953296318931519,0.8695851366392351,0.48416191030992073,0.5294772502980416,0.5142601599085352
15,10,15,3,"(1, 2)",0.474954554074386,-0.05994162619520926,0.8439320272653607,0.518277601416541,0.40712055563926697,241.0,58.21836163333501,0.5233240394545629,0.45655878831054164,0.48575899778400466,0.5667058719056732,0.5130855600206892,0.5090866514950944
50,10,15,3,"(1, 2)",0.46882942847847575,-0.05990692157507321,0.849707435210236,0.5259154686228323,0.3854225476582845,179.33333333333334,72.23886399999417,0.43792164120825045,0.457084501273366,0.6111185270367416,0.7657291864529494,0.26860899417415907,0.5080925700290932
15,5,15,3,"(1, 2)",0.47548645349847213,-0.05529195386012161,0.8441507203343231,0.5142614195003122,0.4079728126525879,236.33333333333334,57.63440886666649,0.5307402933307471,0.5269930132021747,0.49050589366350716,0.4620544273068089,0.5226881404980277,0.5065963536002531
50,10,10,3,"(1, 2)",0.4566994433913643,-0.07397153162533311,0.8659756071212513,0.5314812433023798,0.36224450667699176,253.33333333333334,73.43220306666142,0.26879371053806006,0.24403079858176466,0.9642313100700306,0.910759061263342,0.007456547962366021,0.47905428568311265
30,5,10,3,"(1, 2)",0.4623898459215186,-0.07306578743878564,0.8564120184124818,0.529942909299988,0.37444186210632324,287.3333333333333,64.970837166659,0.3481347812561109,0.2577512040495128,0.7566464970245824,0.8706740056100306,0.1448870240865372,0.47561870240535475
30,5,15,1,"(1, 2)",0.462472928862895,-0.07326168101731599,0.8600181050436296,0.5084529857741926,0.4103309214115143,232.66666666666666,63.69733613333665,0.3492932036159133,0.25478376648172696,0.8349192920963837,0.3107014774220167,0.5492575072242374,0.45979104936805565
50,10,15,1,"(1, 2)",0.45749850678304177,-0.06835186894829544,0.8582560347345666,0.5177862250703972,0.3910082280635834,210.33333333333334,72.75573736666895,0.27993502167225986,0.3291586433596971,0.7966722441713321,0.5539018591546896,0.33154417073970355,0.4582423878195364
15,10,15,1,"(1, 2)",0.47167133051689386,-0.062365055233364296,0.8360641098196276,0.512363838871995,0.4173812468846639,260.0,58.487857500003884,0.47754617557274476,0.41984817010326797,0.3149799919353048,0.4126083219912676,0.6286951846961341,0.4507355688597438
30,5,20,1,"(1, 2)",0.46154330457719644,-0.06860864121492609,0.8465410386791533,0.5073760569182489,0.4283981720606486,181.33333333333334,63.14373806666117,0.33633148679500763,0.32526900248386176,0.542389532937505,0.2826394615931777,0.7528254751621334,0.4478909917943371
30,10,10,1,"(1, 2)",0.44818965885406215,-0.07586371399754847,0.8660986638936157,0.5258026294830583,0.37328121066093445,347.3333333333333,65.99035629998737,0.1501421014134662,0.2153676177948355,0.9669023489303494,0.7627888866281519,0.1318096909155769,0.445402129136476
30,10,15,1,"(1, 2)",0.45433801709809324,-0.0723037765201489,0.859236758242177,0.5134253016727185,0.40184881289800006,230.0,64.14922563332948,0.23586843160795862,0.26929430742222144,0.8179595780557259,0.44026733191678896,0.45368759304874834,0.4434154484102887
15,10,10,1,"(1, 2)",0.4491082386420006,-0.08127343893377927,0.8632882295344094,0.5223471419820912,0.3916802406311035,403.3333333333333,60.09695606666113,0.16294982521310783,0.13341995454015754,0.9058997787866364,0.6727477066436813,0.3391158945982729,0.44282663195637123
50,5,20,1,"(1, 2)",0.454995996847776,-0.06341071872704386,0.8513178152172012,0.5069905017330139,0.41848676403363544,161.33333333333334,73.11637106666846,0.2450426187720445,0.4040082372290714,0.6460730240208571,0.2725928780596005,0.641151306765123,0.44177361296933926
50,5,10,3,"(1, 2)",0.46081432165140107,-0.07481152234202545,0.8509483662489902,0.5349060201481772,0.3615827163060506,261.0,72.44806439999957,0.3261673049886611,0.23130644065229838,0.6380538591099287,1.0,0.0,0.43910552095017763
15,10,20,1,"(1, 2)",0.46367603477938585,-0.06512997268265637,0.8417306707629288,0.503640867169394,0.4308132032553355,203.33333333333334,57.571027066675015,0.36606806463774316,0.37796461285545013,0.437976915981944,0.18530995530537833,0.7800362003774054,0.42947114983158424
15,5,20,1,"(1, 2)",0.4679983026638736,-0.05526987169248154,0.8392169088879683,0.4970726552794738,0.43137866258621216,204.66666666666666,57.17051906667378,0.4263332849043671,0.5273275185714925,0.3834138429823732,0.014159126720143512,0.7864073638252097,0.4275282274007172
15,5,10,3,"(1, 2)",0.4470830531013517,-0.08028466936798498,0.8626855597361022,0.5238014020940254,0.3785659869511922,351.0,59.30386103333634,0.13471273858411648,0.1483980461010641,0.892818382124834,0.7106420114114607,0.19135450995342476,0.41558513763498006
50,5,15,1,"(1, 2)",0.4575794834583775,-0.0735781966540409,0.854737148215409,0.5097833358919254,0.40295713146527606,213.66666666666666,72.32778350000929,0.2810640764430392,0.249989120336327,0.7202921924510346,0.3453670041703003,0.4661752793575131,0.41257753455164287
50,5,10,1,"(1, 2)",0.45427923756829675,-0.07784729949728549,0.8574423016857916,0.5222181181886608,0.37424809734026593,341.3333333333333,74.00577796665796,0.23504887081139914,0.18531984300306076,0.77900956252088,0.6693856760754061,0.14270383083537483,0.40229355664922417
50,10,10,1,"(1, 2)",0.4456622123752379,-0.0826062355602081,0.8676234976105562,0.5247771631926831,0.3653226395448049,321.3333333333333,74.22494116668047,0.11490200921439185,0.11323046793648939,1.0,0.7360678538378892,0.042138595890537436,0.4012677853758616
