trial,fold,random_seed,n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,n_topics,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,fit_seconds
1,1,42,15,5,10,1,"(1, 2)",41,0.5116785392478405,-0.07993511514936864,0.9292682926829269,0.34581620506942273,0.5234217047691345,65.64934559998801
1,2,42,15,5,10,1,"(1, 2)",407,0.4636410612405092,-0.03800405347210533,0.87002457002457,0.5000551786815,0.37159889936447144,46.571172600000864
1,3,42,15,5,10,1,"(1, 2)",779,0.4503885397856196,-0.017524251340007208,0.8505776636713736,0.48800801971838587,0.3359278738498688,67.49712760001421
2,1,42,15,5,10,3,"(1, 2)",39,0.5093703024891939,-0.08579682215384447,0.9230769230769231,0.3357689991975442,0.5261660218238831,59.163034099998185
2,2,42,15,5,10,3,"(1, 2)",337,0.4812901050328405,-0.019379075938836258,0.8670623145400593,0.51333405025537,0.358524352312088,46.38623769997503
2,3,42,15,5,10,3,"(1, 2)",659,0.46005821346739195,-0.007195565516739203,0.8526555386949924,0.491637434853056,0.32971224188804626,63.28571520000696
3,1,42,15,5,15,1,"(1, 2)",29,0.526024618172579,-0.1006642364724649,0.9275862068965517,0.3294439988917318,0.5550609827041626,58.94530650001252
3,2,42,15,5,15,1,"(1, 2)",261,0.4759424230148182,-0.01515051192773593,0.8632183908045977,0.481760978729141,0.401398628950119,45.24478530001943
3,3,42,15,5,15,1,"(1, 2)",507,0.45198164544815606,-0.019352887909331505,0.8319526627218935,0.47940797825251613,0.3616418242454529,61.386109899991425
4,1,42,15,5,15,3,"(1, 2)",26,0.5595057911245779,-0.06128440935057198,0.9153846153846154,0.3305285693361209,0.5620151162147522,58.932465899997624
4,2,42,15,5,15,3,"(1, 2)",235,0.48468713047252665,-0.005558355246871637,0.8702127659574468,0.49378751149332084,0.3911559283733368,45.24592529999791
4,3,42,15,5,15,3,"(1, 2)",437,0.44248951684376714,-0.022772630936745652,0.8379862700228833,0.4736061207461232,0.3546290099620819,59.96110220000264
