split,topic,documents
test,-1,6028
test,19,448
test,5,367
test,46,146
test,37,117
test,0,104
test,10,104
test,3,80
test,4,80
test,31,64
test,30,59
test,9,57
test,45,44
test,24,43
test,26,43
test,76,43
test,2,41
test,48,41
test,44,37
test,7,36
test,13,36
test,102,36
test,18,33
test,62,33
test,239,31
test,20,30
test,28,28
test,57,27
test,51,26
test,134,26
test,255,25
test,67,23
test,85,23
test,154,23
test,56,22
test,237,22
test,145,21
test,11,20
test,104,20
test,501,20
test,29,19
test,32,19
test,66,19
test,88,18
test,99,18
test,126,18
test,81,17
test,27,16
test,43,16
test,80,16
test,176,16
test,198,16
test,242,16
test,34,15
test,35,15
test,91,15
test,128,15
test,17,14
test,40,14
test,41,14
test,49,14
test,59,14
test,137,14
test,162,14
test,39,13
test,74,13
test,93,13
test,100,13
test,379,13
test,87,12
test,103,12
test,222,12
test,258,12
test,285,12
test,318,12
test,417,12
test,12,11
test,71,11
test,36,10
test,55,10
test,95,10
test,114,10
test,120,10
test,130,10
test,181,10
test,21,9
test,47,9
test,52,9
test,111,9
test,159,9
test,287,9
test,306,9
test,329,9
test,432,9
test,444,9
test,1,8
test,6,8
test,15,8
test,33,8
test,64,8
test,70,8
test,75,8
test,135,8
test,194,8
test,195,8
test,283,8
test,457,8
test,23,7
test,89,7
test,115,7
test,118,7
test,150,7
test,189,7
test,205,7
test,210,7
test,220,7
test,250,7
test,349,7
test,377,7
test,60,6
test,72,6
test,78,6
test,84,6
test,148,6
test,163,6
test,172,6
test,212,6
test,224,6
test,230,6
test,260,6
test,428,6
test,524,6
test,8,5
test,58,5
test,105,5
test,113,5
test,151,5
test,173,5
test,177,5
test,197,5
test,200,5
test,203,5
test,218,5
test,228,5
test,231,5
test,272,5
test,280,5
test,319,5
test,356,5
test,374,5
test,436,5
test,463,5
test,73,4
test,83,4
test,86,4
test,92,4
test,116,4
test,121,4
test,131,4
test,136,4
test,138,4
test,139,4
test,156,4
test,158,4
test,164,4
test,201,4
test,206,4
test,207,4
test,259,4
test,267,4
test,297,4
test,305,4
test,335,4
test,338,4
test,344,4
test,364,4
test,369,4
test,404,4
test,410,4
test,415,4
test,429,4
test,459,4
test,460,4
test,462,4
test,478,4
test,493,4
test,495,4
test,500,4
test,22,3
test,25,3
test,53,3
test,69,3
test,77,3
test,90,3
test,96,3
test,98,3
test,107,3
test,133,3
test,146,3
test,167,3
test,171,3
test,175,3
test,179,3
test,180,3
test,211,3
test,219,3
test,225,3
test,234,3
test,257,3
test,264,3
test,279,3
test,290,3
test,291,3
test,317,3
test,327,3
test,347,3
test,353,3
test,390,3
test,408,3
test,419,3
test,442,3
test,499,3
test,505,3
test,522,3
test,38,2
test,79,2
test,97,2
test,119,2
test,125,2
test,132,2
test,140,2
test,149,2
test,166,2
test,185,2
test,217,2
test,232,2
test,243,2
test,253,2
test,254,2
test,256,2
test,265,2
test,269,2
test,271,2
test,274,2
test,275,2
test,278,2
test,292,2
test,294,2
test,307,2
test,316,2
test,320,2
test,325,2
test,330,2
test,332,2
test,339,2
test,346,2
test,352,2
test,359,2
test,366,2
test,373,2
test,375,2
test,384,2
test,387,2
test,388,2
test,391,2
test,399,2
test,409,2
test,411,2
test,423,2
test,426,2
test,438,2
test,483,2
test,491,2
test,510,2
test,511,2
test,533,2
test,536,2
test,541,2
test,14,1
test,16,1
test,50,1
test,65,1
