topic_id,term_rank,term,weight
0,1,buffett,0.055476668178196596
0,2,warren buffett,0.05208427156014346
0,3,warren,0.05099664358317621
0,4,berkshire,0.03305621958066781
0,5,hathaway,0.025850558088159375
0,6,berkshire hathaway,0.025763934564416866
0,7,buffett stocks,0.02139194913666536
0,8,stocks warren,0.01641199450711774
0,9,portfolio invested,0.013566897055464657
0,10,invested,0.013320672352058548
1,1,credit suisse,0.06335863979041309
1,2,suisse,0.06322281622951224
1,3,credit,0.040542132725125815
1,4,takeover,0.01779486847843279
1,5,suisse deal,0.016391427184645927
1,6,swiss,0.01456846873372727
1,7,suisse takeover,0.014406687417796596
1,8,rescue,0.009677264238626387
1,9,buy credit,0.008443321561989965
1,10,update credit,0.008179501322069868
2,1,dividend stocks,0.08114157256519815
2,2,dividend,0.05607653046703303
2,3,best dividend,0.020688098908778027
2,4,tsx dividend,0.019945496979231658
2,5,tsx,0.019338875066901195
2,6,yielding,0.017154121438245778
2,7,stocks buy,0.017000275573931557
2,8,stocks,0.016934901580483865
2,9,yield dividend,0.016462930901569542
2,10,10 best,0.016164935187249433
3,1,ipo,0.07862059482676909
3,2,kong ipo,0.015118212232570462
3,3,billion ipo,0.013912000806622336
3,4,backed,0.012193788754519846
3,5,ipo sources,0.012150165496402833
3,6,ipos,0.011827126641686387
3,7,said,0.009524026125852543
3,8,ant,0.009298297525772698
3,9,files ipo,0.008649514223509291
3,10,ipo market,0.008011972288295715
4,1,crypto,0.05783372661810801
4,2,bitcoin,0.02743362480348555
4,3,stablecoin,0.01761904514982599
4,4,stablecoins,0.01651940572435206
4,5,crypto trading,0.016248607542599453
4,6,cryptocurrency,0.014746727914268112
4,7,coinbase,0.009533077705695833
4,8,ethereum,0.008513935076401078
4,9,cryptocurrencies,0.008467011327008677
4,10,custody,0.008035779086737986
5,1,ai,0.061675306243960205
5,2,ai stocks,0.016288456397061408
5,3,bubble,0.01310745164037159
5,4,ai bubble,0.012412305392965173
5,5,intelligence,0.009861397615951449
5,6,says ai,0.008906610741038217
5,7,artificial intelligence,0.008578437140540466
5,8,artificial,0.008411799033202761
5,9,generative ai,0.008002439800094525
5,10,generative,0.008002439800094525
6,1,russia,0.06344494391309793
6,2,russian,0.049817380352766755
6,3,ukraine,0.031613877814452594
6,4,sanctions,0.01747200340360536
6,5,putin,0.012568937852676917
6,6,ukraine latest,0.0114286444833903
6,7,exposure,0.011027560558892665
6,8,war,0.010062869295612755
6,9,exit,0.009856071179130517
6,10,moscow,0.009318818320342098
7,1,stock buy,0.03555483760963349
7,2,momentum stock,0.020026667558548737
7,3,buy according,0.019809802386584745
7,4,stock invest,0.01953107035197757
7,5,amp best,0.018955677674575653
7,6,according,0.018654146657957178
7,7,corporation best,0.016883790682426205
7,8,great,0.01681814846919397
7,9,invest,0.016260831548205866
7,10,best,0.01608820770262757
8,1,stocks buy,0.03828902761851386
8,2,10 best,0.02726458843778309
8,3,according,0.022711917143319927
8,4,10,0.022115710307011167
8,5,best,0.020997815496900406
8,6,buy,0.02076052543641907
8,7,best stocks,0.02014705916285606
8,8,stocks,0.020034139922270315
8,9,buy according,0.019058284228360048
8,10,stocks invest,0.01845828537848549
9,1,oil,0.06604324213769665
9,2,opec,0.04193680439934427
9,3,supply,0.022854727047562255
9,4,oil prices,0.01824778589800375
9,5,oil extends,0.0161565415056652
9,6,demand,0.015818407050920795
9,7,oil set,0.015304406314950284
9,8,weekly,0.014958411162230206
9,9,stockpiles,0.01447674207358129
9,10,crude,0.014177961698869094
10,1,dimon,0.07758752490413617
10,2,jamie dimon,0.07567962117156629
10,3,jamie,0.0754761858292077
10,4,ceo jamie,0.04035556478872306
10,5,dimon says,0.033140063408329465
10,6,ceo,0.01599455130661321
10,7,ceo dimon,0.013533175571588911
10,8,dimon warns,0.013446401885471509
10,9,chase ceo,0.013184408750011988
10,10,says,0.008659669868486049
11,1,goldman,0.055776461317564675
11,2,goldman profit,0.010087011619135182
11,3,goldman ceo,0.007301210680033814
11,4,private,0.007203476908852989
11,5,goldman traders,0.0067679312271755054
11,6,consumer,0.006210828833738504
11,7,private equity,0.006016185415179125
11,8,update goldman,0.005987305485649032
11,9,goldman hires,0.0059213371327043966
11,10,banking trading,0.005692371270783027
12,1,moody,0.06288739680249202
12,2,ratings,0.038991528712938386
12,3,assigns,0.03325639492392333
12,4,moody assigns,0.03168178560661406
12,5,moody announces,0.027112231539668078
12,6,periodic review,0.026858278123773994
12,7,periodic,0.026858278123773994
12,8,completion periodic,0.026858278123773994
12,9,announces completion,0.026311500135506084
12,10,review ratings,0.026087438385603588
13,1,fed,0.0370275318477519
13,2,yields,0.03012804738268873
13,3,fed rate,0.028745265927012736
13,4,treasuries,0.028475773518534923
13,5,treasury,0.023604731863204786
13,6,treasury yields,0.023535724653849028
13,7,rate cut,0.022522190275895235
13,8,cut,0.02203667859909642
13,9,rate,0.01956791394266809
13,10,fed cut,0.015783327627397856
14,1,hedge funds,0.10333629450231928
14,2,hedge,0.09371695453824486
14,3,funds right,0.07192761959177921
14,4,funds,0.07033832434100852
14,5,right,0.03219151129719745
14,6,funds bullish,0.027344479629338215
14,7,funds think,0.027262290739053244
14,8,going burn,0.026087759306136736
14,9,burn hedge,0.026087759306136736
14,10,funds hedge,0.023716144823760672
15,1,climate,0.07454523812357566
15,2,climate change,0.028692664192009915
15,3,fossil,0.024521744946268714
15,4,emissions,0.024208296392139488
15,5,fossil fuel,0.020712880446927474
15,6,change,0.017851644814624024
15,7,carbon,0.017243665660619866
