n_neighbors,n_components,min_cluster_size,min_samples,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,n_topics,fit_seconds,composite_score
50,10,15,3,0.5804,0.0208,0.8812,0.4599,0.4568,161.0,69.5016,0.7785
50,10,20,3,0.5917,0.0236,0.8758,0.4378,0.4827,126.66666666666667,69.3762,0.7181
50,10,20,1,0.5913,0.0215,0.8714,0.4369,0.4862,142.0,69.3907,0.6734
30,5,20,3,0.591,0.0259,0.8741,0.4321,0.4727,141.66666666666666,64.1064,0.6716
50,5,20,3,0.5901,0.0195,0.8724,0.428,0.479,127.33333333333333,70.1278,0.6354
30,5,20,1,0.5874,0.0217,0.8684,0.426,0.4749,158.66666666666666,65.0984,0.5852
30,10,20,3,0.5326,-0.0137,0.8844,0.4344,0.4637,143.66666666666666,64.8985,0.5812
50,10,10,3,0.4962,-0.0337,0.8841,0.4765,0.3851,245.0,70.7143,0.4933
30,10,15,3,0.5032,-0.028,0.8817,0.4519,0.4191,199.0,66.1412,0.4659
50,5,15,3,0.5154,-0.0251,0.8775,0.4532,0.4246,173.0,71.1945,0.4641
