n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,n_topics,fit_seconds,cv_val_norm,npmi_val_norm,topic_diversity_norm,intra_topic_similarity_norm,inter_topic_separation_norm,composite_score
50,10,15,3,"(1, 2)",0.5804306831611323,0.020837425254514996,0.8812398858197583,0.4599326431208632,0.45677004257837933,161.0,69.50159953332816,0.9126198709714438,0.9420424417467183,0.6071405848486582,0.6832296628142298,0.7474457599220637,0.7784956640606229
50,10,20,3,"(1, 2)",0.5916657070817296,0.023578346821877306,0.875839874411303,0.43782683166888425,0.48274584611256915,126.66666666666667,69.37622696666706,1.0,0.9733817065880432,0.3522420461768596,0.3156086866609189,0.9494893065222542,0.7181443491896152
50,10,20,1,"(1, 2)",0.5912518997227606,0.021506245394348093,0.8714160739105551,0.4369056102373808,0.48623531063397724,142.0,69.39067819999764,0.9967816231923291,0.9496896257241905,0.14342391641317648,0.30028871875843594,0.9766308648849381,0.673362949794614
30,5,20,3,"(1, 2)",0.590961162917286,0.02590637381512714,0.8741193893825473,0.4321116769145896,0.4727497398853302,141.66666666666666,64.10640816667001,0.9945204246621551,1.0,0.2710294178202154,0.2205653188024211,0.8717381504632968,0.6715706623496176
50,5,20,3,"(1, 2)",0.5901350670862756,0.019484267096760887,0.8724178832116788,0.42795398230046394,0.4790075520674388,127.33333333333333,70.12784323333956,0.988095484153457,0.9265706448215456,0.19071265481924796,0.15142260690005307,0.9204123162332578,0.6354427413855124
30,5,20,1,"(1, 2)",0.5873982839471809,0.021745943440947175,0.8683776461937383,0.42597002255363076,0.47491055727005005,158.66666666666666,65.0983615333292,0.9668102189410833,0.9524302953784287,0.0,0.11842923679174158,0.8885452997547332,0.5852430101731974
30,10,20,3,"(1, 2)",0.5325935346854902,-0.013707879546418307,0.8844415156915156,0.43442329819419695,0.4636962215105693,143.66666666666666,64.89853626667173,0.5405675962542937,0.5470568759165375,0.7582681869868831,0.25900771993988014,0.8013185786783834,0.5812437915551956
50,10,10,3,"(1, 2)",0.496226170360696,-0.03369678098149933,0.8840899772487769,0.4764676801829065,0.38512038191159564,245.0,70.7143337999878,0.25772129262487603,0.3185069300076544,0.741674400684737,0.958208325266151,0.1901443646153468,0.493251062639753
30,10,15,3,"(1, 2)",0.5031827285346647,-0.027994929965707484,0.8817362130209269,0.4518659440379545,0.4190545082092285,199.0,66.14115469999767,0.3118257569439631,0.38370099509782796,0.6305688831820341,0.549079971108231,0.4540888935662344,0.4658528999796581
50,5,15,3,"(1, 2)",0.5153590396457043,-0.025100680604491537,0.8774539514880848,0.45322652111334133,0.42455218235651654,173.0,71.19448450000102,0.40652672451590544,0.4167933857477618,0.42843186450411896,0.571706449836328,0.49685059606018167,0.4640618041328592
15,10,20,3,"(1, 2)",0.5101100601470722,-0.019276781010665073,0.8755005092109164,0.424944996849484,0.48923977216084796,164.33333333333334,54.1344111666646,0.3657029123816151,0.4833829350269321,0.3362228774915579,0.10138299758178346,1.0,0.4573383444963778
30,10,10,3,"(1, 2)",0.4831029870647794,-0.04471394012300962,0.8880715953404815,0.46432177660760826,0.3892587224642436,290.0,67.03822633334009,0.15565604934930805,0.19253847025815407,0.9296200467875492,0.756221217110689,0.22233297434192795,0.45127375156952565
30,10,20,1,"(1, 2)",0.5154375055890289,-0.02265825323438063,0.8770035488450123,0.43630177319349234,0.4504680832227071,173.66666666666666,64.18695719998989,0.40713699150781474,0.4447197150229435,0.4071713583960521,0.2902468723419848,0.698428211068402,0.44954062966743946
30,5,15,3,"(1, 2)",0.5020292015466216,-0.03356385493556138,0.8826657385871687,0.4408788157105093,0.42648711800575256,189.33333333333334,65.28391963333706,0.302854228466098,0.32002678544881846,0.6744455883538273,0.3663633651319544,0.5119008046321792,0.4351181544065755
30,10,10,1,"(1, 2)",0.4773915901840708,-0.04845745501065954,0.8880331445443675,0.4623891421092819,0.39071139693260193,349.3333333333333,67.67720719999245,0.11123579711872093,0.14973571154426477,0.9278050410405477,0.7240813889770015,0.23363208588842352,0.42929800491379166
15,10,10,3,"(1, 2)",0.4928720115078234,-0.028758309756458735,0.8835615796079805,0.4464346772625585,0.4040173987547557,346.3333333333333,56.54169113332561,0.23163440260865067,0.3749726309878358,0.7167322706985435,0.4587576774409073,0.3371280872990451,0.42384501380699646
30,5,10,3,"(1, 2)",0.48871259619197066,-0.03737459209803162,0.8865232951567209,0.44852248394084904,0.39139394958813983,284.3333333333333,71.5030501333434,0.1992846497686725,0.2764554178484452,0.856535117069086,0.4934780282753422,0.23894107889357705,0.4129388583710246
50,10,15,1,"(1, 2)",0.48995810693532665,-0.036565953286017555,0.8786196973916272,0.4604738630768826,0.40989169478416443,205.66666666666666,70.53777406667359,0.20897157969691013,0.28570126646828403,0.48345895700438773,0.6922301832872159,0.38281920911550743,0.41063623911446107
50,5,10,3,"(1, 2)",0.479280849886192,-0.044102808866186255,0.8840240575087256,0.45886870602388097,0.3852454423904419,240.0,72.09644016665213,0.12592946913103903,0.19952604864728332,0.7385627692199594,0.6655363247973026,0.1911171030583504,0.384134342970787
15,10,10,1,"(1, 2)",0.4880373540881318,-0.03538504156573793,0.8831483879535251,0.43965905511156156,0.4072217643260956,409.0,57.210886099996664,0.19403297050426238,0.2992036247979618,0.6972282472908977,0.34607867289016053,0.36205210490585027,0.37971912407782654
15,10,15,3,"(1, 2)",0.507795008738143,-0.03010867785300232,0.8732353734637105,0.4361727401052449,0.4459334413210551,228.0,55.07144630000888,0.34769765558379795,0.35953273518243295,0.2293009197060673,0.28810104431116884,0.6631571122873504,0.37755789341416357
15,10,20,1,"(1, 2)",0.49575100565783403,-0.03643579035791778,0.8754003964610025,0.42136373646139275,0.48271597425142926,190.66666666666666,54.216475000003506,0.25402571054696205,0.28718952885594756,0.33149722198359066,0.041826421584143056,0.9492569588776352,0.3727591683696557
50,10,10,1,"(1, 2)",0.46423235147524095,-0.04485066450122945,0.8820351071870829,0.47898070022761585,0.3606744011243184,317.6666666666667,73.1707601333328,0.008890133734143607,0.19097518528483745,0.6446776841470473,1.0,0.0,0.3689086006332057
15,5,10,3,"(1, 2)",0.4835728736631421,-0.03745715453647331,0.8809315921039916,0.44691349476865677,0.4048008720080058,345.0,56.27832899999339,0.15931058109609414,0.2755114119509106,0.5925880938099207,0.4667204414124326,0.3432220552698411,0.3674705167078398
50,5,20,1,"(1, 2)",0.5186808216335844,-0.03691165653410396,0.8704750804750806,0.4380897596924649,0.45014819502830505,161.33333333333334,70.07783506666117,0.4323618042413315,0.28174855006176813,0.0990058895870419,0.31998119553247717,0.6959400745521456,0.3658075027949529
15,5,10,1,"(1, 2)",0.47523604675798975,-0.04515447332049372,0.8832901754596234,0.44462646782310283,0.4103161593278249,409.0,59.90588193333436,0.09447110983111218,0.1875014831689408,0.7039210902078181,0.4286870455319028,0.3861207555602329,0.3601402968600013
30,10,15,1,"(1, 2)",0.49379667162603763,-0.04042200717746371,0.8751559930279124,0.4480367194096309,0.42502517501513165,229.0,65.54807969999577,0.23882592449664544,0.24161175453717545,0.31996056525662325,0.4853997348575687,0.5005296011826474,0.3572655160661321
30,5,10,1,"(1, 2)",0.4672650572349489,-0.05552040368306747,0.8895625907469445,0.43977608475308955,0.40044411023457843,354.6666666666667,62.07855020000716,0.032476930029530296,0.06897907055132735,1.0,0.34802488287891625,0.30933453378328574,0.35176308344861196
30,5,15,1,"(1, 2)",0.4857709368106106,-0.04003119995042967,0.8796455292315529,0.43390886828781966,0.42913015683492023,221.33333333333334,65.59583346665993,0.17640596449680007,0.246080182724163,0.5318816393177345,0.2504527196063391,0.5324587418734344,0.34745584960369424
15,5,15,3,"(1, 2)",0.4955608128136239,-0.02987179851139642,0.8745278837883151,0.43264073385852164,0.43593335151672363,232.66666666666666,54.71316446666606,0.2525464902636015,0.36224117620840884,0.29031171543217776,0.22936356765166496,0.5853749713911822,0.3439675841894071
50,5,15,1,"(1, 2)",0.4855686532549545,-0.04972730854326557,0.8772659692807941,0.4467056113100408,0.42498963077863056,210.33333333333334,71.93777990000672,0.17483270899520914,0.13521640656235315,0.4195584777072576,0.46326332697225225,0.5002531329842942,0.3386248106442733
15,10,15,1,"(1, 2)",0.4940348699440958,-0.03856994820459889,0.874237517300117,0.43044836653123664,0.4460030396779378,259.3333333333333,55.55612966667589,0.24067850620126902,0.26278790468444846,0.27660544929261455,0.19290436692546908,0.6636984583459475,0.32733493708994976
15,5,20,3,"(1, 2)",0.4917897038998978,-0.033112107817827044,0.8722668282583447,0.4212384834156065,0.46964850028355914,170.0,53.839839733341556,0.2232167811511879,0.32519199073326077,0.1835823575010397,0.03974345588717487,0.8476162615225347,0.32387016935903956
15,5,20,1,"(1, 2)",0.4795347334898638,-0.049007583757209615,0.8780536877843031,0.41884862701653763,0.4697640836238861,196.33333333333334,53.858468933341406,0.12790404276825265,0.1434456262349101,0.45674141682379105,0.0,0.8485152854151669,0.3153212742484241
15,5,15,1,"(1, 2)",0.4846495622118511,-0.045055878769844106,0.8742524201410143,0.430204318624463,0.4393671452999115,265.6666666666667,55.19206723334113,0.16768450045529398,0.1886287977085149,0.277308913059532,0.18884583553379466,0.6120835147221249,0.28691031229585207
50,5,10,1,"(1, 2)",0.4630892899317203,-0.06155329000404555,0.8830566559768598,0.4571856503672936,0.3740406930446625,316.0,73.65274753334234,0.0,0.0,0.6928981922164104,0.6375470078369602,0.10396494649049985,0.28688202930877404
