document_id,topic,probabilities
0,35,"[0.004057   0.01779158 0.00401659 0.0039892  0.00355666 0.00612115
 0.00255926 0.00331077 0.01772507 0.00246884 0.00331383 0.00484176
 0.00385523 0.00241995 0.00393118 0.00243661 0.00537778 0.00292015
 0.00284616 0.00610068 0.00240281 0.00332813 0.00193762 0.0140787
 0.00337869 0.00290545 0.00429871 0.00317771 0.00401136 0.00311787
 0.00549928 0.00533935 0.00356573 0.00647121 0.00199644 0.06271243
 0.00419004 0.00423247 0.00343738 0.00315731 0.00277076 0.00427156
 0.00397579 0.00527759 0.00598053 0.00577687 0.0052293  0.00297721
 0.00463198 0.00370781 0.00168625 0.00367483 0.00133904 0.00397284
 0.00235164 0.00312168 0.00475468 0.00449184 0.00367966 0.00300936
 0.00427648 0.00547186 0.00542883 0.00325196 0.00570961 0.00314183
 0.00353665 0.0021953  0.01674314 0.00281394 0.00469251 0.0052482
 0.00272125 0.00109459 0.0033199  0.00402816 0.00412818 0.00578177
 0.00407662 0.00286088 0.00415887 0.00463997 0.00531383 0.00517687
 0.00511467 0.01237293 0.00284789 0.00622815 0.00450916 0.00485638
 0.00467617 0.004623   0.00709117 0.00645235 0.00300689 0.00232972
 0.00109063 0.00301208 0.00656078 0.00468849 0.00420317 0.00378918
 0.00324923 0.00522743 0.0017474  0.0058695  0.00439822 0.00490801
 0.00479152 0.00839766 0.01033738 0.00316618 0.00543426 0.00560548
 0.00399693 0.00542656 0.00753421 0.00478798 0.00510459 0.00102846
 0.00470848 0.00184444 0.00365854 0.01070352 0.00614642 0.00411419
 0.00419618 0.00419454 0.00476842 0.00559714 0.00441253 0.00452001
 0.00297552 0.00600423 0.00416471 0.01221342 0.00298938]"
1,13,"[0.00199505 0.00192754 0.00232541 0.00347698 0.00274177 0.00190205
 0.00387576 0.00306976 0.00229416 0.00468501 0.00492753 0.00237354
 0.00231644 0.04467519 0.00199129 0.00232357 0.00232028 0.00701831
 0.01637105 0.00235968 0.00577325 0.0019706  0.00307373 0.00246907
 0.00305066 0.00144494 0.00289789 0.00187695 0.00216793 0.00527977
 0.00266826 0.00190846 0.00169513 0.00232093 0.00120679 0.00196499
 0.00285019 0.00195397 0.0022514  0.00790566 0.00963707 0.00322691
 0.00242199 0.00253838 0.00279419 0.00240312 0.0027529  0.00911224
 0.00262307 0.0029294  0.00145328 0.00527153 0.00105152 0.00197918
 0.00233246 0.00170471 0.00198179 0.00309407 0.00265266 0.00393373
 0.00210398 0.00198203 0.0022315  0.00167414 0.00218092 0.00156521
 0.003273   0.0018083  0.00177505 0.00425623 0.00176544 0.00223499
 0.008167   0.00099868 0.00196805 0.00212053 0.00342484 0.00198287
 0.00185237 0.00217263 0.00207577 0.00239645 0.00330995 0.00214941
 0.00263912 0.00191103 0.00425667 0.00257442 0.00179073 0.00183868
 0.00222561 0.00181497 0.00200427 0.0024965  0.00340427 0.00164703
 0.00098761 0.00616634 0.00167457 0.00245392 0.0027553  0.00269503
 0.00321636 0.00230584 0.00294423 0.00253458 0.00172606 0.00245416
 0.00285058 0.00259979 0.00202925 0.00692097 0.00151881 0.00218738
 0.00299886 0.00191217 0.00241015 0.0026535  0.00281192 0.00082109
 0.00215947 0.00134272 0.0019048  0.0020419  0.00217255 0.00280495
 0.00250433 0.0021429  0.00299468 0.00266569 0.00273687 0.00276351
 0.00401461 0.00200425 0.00299732 0.00197064 0.00635242]"
2,-1,"[0.00335935 0.00283833 0.00458255 0.01410815 0.00505982 0.00330169
 0.00270124 0.00279276 0.0037025  0.00232576 0.00386036 0.01010861
 0.00298833 0.00273023 0.00271228 0.0016503  0.00351405 0.0040817
 0.00315478 0.00410335 0.00239633 0.00230492 0.00135594 0.00447124
 0.00395845 0.0019095  0.00722864 0.0020168  0.0030131  0.00340675
 0.00398469 0.00298725 0.00296693 0.00366312 0.00118005 0.00319864
 0.00326065 0.00337932 0.00477882 0.00373247 0.00296462 0.00761463
 0.00536034 0.00747009 0.00994985 0.0037698  0.00856655 0.00312302
 0.00471555 0.00734973 0.00123827 0.00494911 0.0007934  0.00283016
 0.00177264 0.0024574  0.00264414 0.00382173 0.00413755 0.00276666
 0.00589624 0.00267211 0.0045345  0.00211431 0.00433075 0.00210232
 0.00343618 0.00157108 0.00267809 0.00305521 0.00306986 0.00417381
 0.00292238 0.0006854  0.00240712 0.00363458 0.00691821 0.00370612
 0.00276597 0.00406308 0.00577802 0.00307415 0.00575066 0.00359694
 0.01225594 0.00325941 0.00278639 0.00542991 0.00302296 0.00311949
 0.00464643 0.00285936 0.0036965  0.00414472 0.00288487 0.0014402
 0.00068098 0.00326727 0.00214323 0.01092302 0.00516537 0.00516885
 0.00612536 0.00393182 0.00126553 0.00468526 0.00254543 0.0041801
 0.0099761  0.00402997 0.0031191  0.00396081 0.0016065  0.00317663
 0.01156841 0.00350902 0.00385124 0.00394744 0.00587437 0.00059304
 0.00520924 0.00105044 0.00286706 0.00296526 0.00446178 0.0082898
 0.00455619 0.00575766 0.00980558 0.00661566 0.00754455 0.00765062
 0.00334282 0.00424416 0.0065132  0.00360489 0.00302315]"
3,32,"[0.00444396 0.00323088 0.00479711 0.00383053 0.00310012 0.00467321
 0.00252087 0.00287131 0.00426907 0.00212701 0.00243725 0.00455664
 0.00349881 0.00203215 0.00451471 0.00234012 0.00432135 0.00263004
 0.0021912  0.00337559 0.00189875 0.0028929  0.00182319 0.00368733
 0.00312023 0.00332649 0.00337593 0.00313208 0.00449294 0.00263078
 0.00339154 0.00528437 0.18692173 0.00304428 0.00334253 0.00347789
 0.00323789 0.00826721 0.0032829  0.00239597 0.00214563 0.00350233
 0.00323509 0.00479204 0.00428354 0.00385819 0.00448936 0.00230357
 0.00397185 0.00356478 0.00217455 0.00273631 0.00139012 0.00512653
 0.002192   0.00308224 0.00303905 0.00327647 0.00267667 0.00256026
 0.00393986 0.00300276 0.00495849 0.0028198  0.00463675 0.00335971
 0.00266981 0.00231479 0.00315038 0.00269271 0.00492336 0.00357247
 0.0022263  0.00108413 0.0032411  0.00490883 0.00323494 0.00459129
 0.00636643 0.00364337 0.00407296 0.00383786 0.00379947 0.00563404
 0.00437936 0.00351478 0.00222561 0.00436206 0.00564689 0.00327692
 0.0052183  0.00715232 0.00384688 0.00355964 0.00287447 0.0019082
 0.0010805  0.00230531 0.00267789 0.00412796 0.00297892 0.00331073
 0.00320261 0.00325855 0.00170167 0.00398841 0.00445323 0.00295223
 0.00405864 0.00366632 0.00423394 0.00272259 0.00242752 0.00278828
 0.00362499 0.00670477 0.00357071 0.00374865 0.00335009 0.00113426
 0.00638918 0.00212726 0.00582582 0.00380525 0.00484188 0.00361701
 0.00407031 0.00451513 0.00361055 0.00389615 0.0043655  0.00353549
 0.00287353 0.00395432 0.0034928  0.00363421 0.00232438]"
4,3,"[0.00455825 0.00433051 0.00648571 0.14616891 0.00816833 0.00497002
 0.00462802 0.00476384 0.00553476 0.0041647  0.00694953 0.01154312
 0.00519322 0.00467684 0.00423402 0.00308114 0.00533694 0.00707182
 0.00536782 0.00555023 0.00398793 0.0040885  0.00274841 0.00653678
 0.00906127 0.00295363 0.01069521 0.00392491 0.00478797 0.00575972
 0.00571184 0.00449151 0.00480718 0.00551379 0.00242613 0.00470227
 0.0053672  0.00514172 0.00752326 0.00596535 0.00499344 0.01338651
 0.00763524 0.00953349 0.01260386 0.00596105 0.01252726 0.00542796
 0.00666762 0.01295065 0.0027498  0.00723417 0.00161969 0.00472844
 0.00310714 0.00345426 0.00440571 0.00641175 0.00619747 0.00476289
 0.00823642 0.00437085 0.0070302  0.00318914 0.00631708 0.00317698
 0.00549706 0.00311846 0.00400493 0.00532846 0.00471901 0.00556926
 0.00518027 0.0014191  0.00417408 0.00509416 0.01227599 0.00562555
 0.00455338 0.00752367 0.00808483 0.00502577 0.01027065 0.00556679
 0.01316793 0.0048178  0.00462223 0.00782714 0.00474936 0.00484459
 0.00673541 0.00455884 0.00552138 0.00576808 0.00498589 0.00301747
 0.00140886 0.00508087 0.0033376  0.01209289 0.00733424 0.00893959
 0.01850258 0.00521053 0.0025734  0.00730668 0.00380178 0.00609047
 0.01259833 0.00647397 0.00472264 0.00672602 0.00280335 0.00489756
 0.01411292 0.0051823  0.00560734 0.00698578 0.00907337 0.00121873
 0.00745627 0.00224078 0.00450276 0.00459887 0.00665085 0.01262184
 0.00629011 0.00828366 0.01336316 0.00938118 0.01619497 0.01163434
 0.00554226 0.0060618  0.01132563 0.00523289 0.00523797]"
5,12,"[0.00158986 0.0018821  0.00217003 0.00241314 0.0028308  0.00179116
 0.00192538 0.00310411 0.00269327 0.00181208 0.00152056 0.00195933
 0.02480542 0.00140098 0.00256329 0.00211056 0.00308915 0.00193117
 0.00145585 0.00192105 0.0012104  0.0060514  0.0014609  0.0021828
 0.00188128 0.00114904 0.00166283 0.00531549 0.002525   0.00222327
 0.00258281 0.00212309 0.00183759 0.00177146 0.00115681 0.00195668
 0.00441516 0.00223964 0.00137586 0.0015492  0.00149464 0.00204436
 0.00151575 0.00242095 0.00256769 0.00455129 0.0021519  0.00175617
 0.00177679 0.00215507 0.00106175 0.00162986 0.00094086 0.00360558
 0.00183268 0.00121661 0.00329365 0.00394151 0.00141257 0.00249356
 0.00154715 0.00280121 0.00319594 0.00119998 0.00185418 0.00121794
 0.00151212 0.00267819 0.0017205  0.00206817 0.00165845 0.00164193
 0.00175845 0.00057502 0.00930293 0.00180736 0.0017652  0.00196037
 0.0026712  0.00141563 0.00154238 0.00264542 0.00351203 0.00317418
 0.00199953 0.00168316 0.00135278 0.00257841 0.00180447 0.00140142
 0.00216729 0.00234886 0.00166848 0.00236466 0.00227926 0.00098411
 0.00057133 0.00145753 0.00144963 0.00178865 0.00158338 0.00155572
 0.00211866 0.00174116 0.00128222 0.0034791  0.00163882 0.00164126
 0.00181586 0.00313106 0.00225546 0.00209866 0.00135278 0.00161003
 0.00184117 0.00208067 0.0027362  0.00783772 0.00178132 0.0005398
 0.0025351  0.00181614 0.00247641 0.00229398 0.00235468 0.0019435
 0.00183424 0.00157651 0.00176037 0.00226671 0.00298987 0.00166218
 0.00221833 0.00163537 0.00171113 0.0017028  0.00191372]"
6,-1,"[0.00549161 0.00502911 0.00446625 0.00407317 0.0033807  0.00735296
 0.00303553 0.00377209 0.00930406 0.00257733 0.00331675 0.00414252
 0.00408266 0.00283086 0.00522453 0.00237818 0.0094794  0.0035278
 0.00316884 0.01324524 0.00269504 0.00316192 0.00175039 0.00650654
 0.00281181 0.00300155 0.00454052 0.00258244 0.00415248 0.00377023
 0.01639658 0.00588305 0.00313716 0.00641034 0.00150279 0.00528469
 0.00477908 0.00477454 0.00293173 0.00356272 0.00320862 0.00424432
 0.00421672 0.00757271 0.00484477 0.00855621 0.00439814 0.00331211
 0.00417096 0.00444782 0.00114415 0.0040099  0.00100054 0.00423793
 0.00235075 0.00395765 0.00425458 0.00544078 0.00399012 0.00361743
 0.00338951 0.00460353 0.00811091 0.00369272 0.0079201  0.00345391
 0.00414997 0.00191224 0.00431808 0.00328607 0.00567136 0.00812827
 0.00316189 0.00077609 0.00336951 0.00502746 0.0039141  0.00816075
 0.00391827 0.00246085 0.00331312 0.00412534 0.00540028 0.00642996
 0.00539935 0.0039432  0.00323699 0.01094679 0.00539982 0.00273888
 0.00681461 0.00434841 0.00338247 0.03207706 0.00345315 0.00157156
 0.00077217 0.00329342 0.00377243 0.00413006 0.00472471 0.00329277
 0.00336338 0.01053101 0.00156623 0.0092973  0.00522669 0.00525299
 0.00414655 0.00558927 0.00693927 0.00389929 0.00235879 0.0051312
 0.00473127 0.00622312 0.01148555 0.00499199 0.0053551  0.0007502
 0.00578538 0.00141501 0.00417297 0.00446056 0.00982902 0.00400097
 0.0052319  0.00336949 0.00426649 0.00810109 0.00414065 0.00435598
 0.00374782 0.00337306 0.00377532 0.00408884 0.00330765]"
7,64,"[3.33346421e-307 2.28537496e-307 2.12775435e-307 2.27261554e-307
 1.59877023e-307 6.49180583e-307 1.24585005e-307 1.43788242e-307
 3.26599978e-307 1.09517579e-307 1.53618396e-307 2.49480263e-307
 1.61309695e-307 1.18416939e-307 2.22954789e-307 1.05638110e-307
 3.17063753e-307 1.47709990e-307 1.35781763e-307 4.38873937e-307
 1.17966680e-307 1.32957744e-307 8.72086743e-308 2.98397095e-307
 1.48393431e-307 1.76758461e-307 2.50894831e-307 1.26478206e-307
 1.80410575e-307 1.47017970e-307 2.84226753e-307 3.08280154e-307
 2.07155679e-307 2.95627203e-307 1.10185029e-307 2.45799738e-307
 1.72646987e-307 2.61073793e-307 1.87923274e-307 1.52586007e-307
 1.32907687e-307 2.06606176e-307 2.29769694e-307 4.81203679e-307
 2.65986304e-307 2.61717902e-307 2.40995505e-307 1.34816077e-307
 2.07878195e-307 2.11704839e-307 7.49551170e-308 1.80445735e-307
 5.75784653e-308 1.88763622e-307 9.95012028e-308 2.03670138e-307
 1.73836148e-307 1.87383562e-307 2.11840495e-307 1.36153910e-307
 2.08528826e-307 1.87074785e-307 3.98772718e-307 1.99158662e-307
 1.00000000e+000 2.00220383e-307 2.14744077e-307 9.53266644e-308
 2.01496516e-307 1.35848518e-307 4.22174620e-307 5.69228634e-307
 1.26963464e-307 4.74937545e-308 1.37817130e-307 2.56373858e-307
 2.05080482e-307 7.43306338e-307 1.94510475e-307 1.75753502e-307
 2.07194679e-307 1.76901711e-307 2.19400509e-307 2.80185407e-307
 3.86702684e-307 2.06634155e-307 1.53371148e-307 5.27731367e-307
 3.37925340e-307 1.64854555e-307 5.07956944e-307 2.33592787e-307
 2.02184216e-307 4.20624587e-307 1.41719849e-307 1.03328410e-307
 4.73012422e-308 1.40314314e-307 1.72144020e-307 2.50108736e-307
 2.56012131e-307 1.83708421e-307 1.70331559e-307 3.77831259e-307
 8.00486758e-308 3.51577152e-307 3.14351355e-307 2.68115952e-307
 2.50169230e-307 2.27852698e-307 2.97719460e-307 1.56976982e-307
 1.26914647e-307 2.44004748e-307 2.64712728e-307 4.36656974e-307
 3.42770082e-307 1.96562479e-307 3.04057196e-307 4.69971390e-308
 3.70221791e-307 8.01211054e-308 1.96251593e-307 2.01160853e-307
 7.50604992e-307 1.99241795e-307 2.68223087e-307 2.16959774e-307
 2.47136841e-307 3.90194655e-307 2.10092809e-307 2.64015428e-307
 1.50437210e-307 2.17245138e-307 2.07527018e-307 2.23803422e-307
 1.33293417e-307]"
8,80,"[0.00435719 0.00406741 0.00518287 0.00839982 0.0056352  0.00444801
 0.00287224 0.00304307 0.0045512  0.00275303 0.00394478 0.02036996
 0.00344728 0.00289067 0.00349924 0.00229647 0.00385218 0.0036471
 0.00328748 0.00458222 0.00280131 0.00311977 0.00207343 0.00526648
 0.00454466 0.00318894 0.00625263 0.0031929  0.00359106 0.00331464
 0.00402095 0.00395906 0.00489219 0.00464532 0.00246523 0.00472222
 0.00346991 0.0043389  0.00864275 0.00369507 0.00309817 0.00577324
 0.00605975 0.00625897 0.00914958 0.00400723 0.00766379 0.00319679
 0.00544699 0.00539044 0.00258095 0.00454313 0.00160144 0.00349511
 0.00228954 0.00350329 0.00365674 0.00374495 0.00489864 0.00291378
 0.04594348 0.00376951 0.00490334 0.00341414 0.00518905 0.00341084
 0.0041516  0.00247028 0.00422483 0.00312124 0.00425971 0.00494826
 0.00298567 0.00145267 0.00302763 0.00443022 0.0058831  0.00473446
 0.00366133 0.00649197 0.28191605 0.00370093 0.00486767 0.0041906
 0.00871333 0.00571353 0.00335254 0.00525833 0.00412327 0.00933901
 0.00519223 0.00390384 0.00866532 0.0043648  0.00306961 0.0030447
 0.00144719 0.00350364 0.00319435 0.0161629  0.00545674 0.00616521
 0.00518791 0.00451194 0.00196177 0.00472276 0.00359326 0.00505886
 0.00850835 0.0044885  0.00416913 0.00358694 0.00312472 0.00425835
 0.00695345 0.00466385 0.00425261 0.00409106 0.00573454 0.00122211
 0.00562948 0.00194545 0.0036269  0.00431644 0.00513784 0.00674014
 0.00485492 0.01565069 0.00836298 0.00597067 0.00591879 0.00688009
 0.00329225 0.01325834 0.00647483 0.0065779  0.00313863]"
9,84,"[0.00393063 0.00308529 0.00388177 0.00638767 0.00385684 0.00473692
 0.00228348 0.00256869 0.00443976 0.00196334 0.00278989 0.0073188
 0.00310351 0.00213603 0.00327639 0.00166847 0.00450375 0.00298331
 0.00239022 0.00505257 0.00195657 0.00246661 0.00137727 0.0044956
 0.002873   0.00211821 0.00480595 0.00226342 0.00298722 0.00276196
 0.00433868 0.00364674 0.00365122 0.00397248 0.0015873  0.00353988
 0.0031489  0.00409206 0.00375749 0.002733   0.00232581 0.00437664
 0.00412611 0.02132409 0.00690362 0.00464259 0.00559228 0.00243288
 0.00364664 0.00536287 0.0012719  0.00332314 0.00091868 0.00319416
 0.00165279 0.00257425 0.00308509 0.0035101  0.00350755 0.00243381
 0.00485015 0.00314573 0.00812759 0.00230729 0.00719434 0.00233761
 0.00311516 0.00169048 0.00288732 0.00252105 0.00413649 0.0050425
 0.00230748 0.00072428 0.00253614 0.00373555 0.00419426 0.00591089
 0.00315073 0.00357789 0.00491684 0.00295426 0.00468599 0.00433435
 0.01624717 0.0033001  0.00238882 0.00978919 0.0039353  0.00287131
 0.00973138 0.00343252 0.00350791 0.00521087 0.00254624 0.00152405
 0.00072052 0.0024666  0.00224319 0.00657669 0.0044148  0.0036346
 0.00424162 0.00447143 0.00127295 0.00716786 0.00314214 0.00416164
 0.00575574 0.00398677 0.00367926 0.00305118 0.00174854 0.00333832
 0.00713261 0.00469031 0.00498629 0.00397661 0.00532926 0.00066187
 0.01151198 0.00127093 0.00319352 0.00311037 0.00849478 0.00447926
 0.00413489 0.00492271 0.00530152 0.00793888 0.00529578 0.005091
 0.00282503 0.00415667 0.0042267  0.0036691  0.00239845]"
