topic,word,weight
0,shifting,0.0770450190124688
0,story,0.06752054617011075
0,narrative,0.0575373550316836
0,analyst,0.048642109439768676
0,targets,0.0418388385807382
0,investment,0.037764636968068616
0,assumptions,0.025741475957925895
0,analysts,0.02519771528046863
0,views,0.024273619662047993
0,evolving,0.022955825812593204
1,q4,0.0661594944855349
1,q2,0.05768156272566185
1,q3,0.057410400293743856
1,earnings,0.042236266190640394
1,estimates,0.041885404627311225
1,nii,0.034249183533012435
1,snapshot,0.02958734747778682
1,revenues,0.029074093801326067
1,fee,0.021669832251813577
1,income,0.021602146834338073
2,ai,0.09042317253376636
2,software,0.030393065438300358
2,intelligence,0.019629360662153553
2,artificial,0.018704445541044508
2,disruption,0.016496737902725957
2,job,0.012015495645770861
2,tech,0.011191498505635038
2,agentic,0.010998969657639546
2,says,0.01086177343979814
2,driven,0.010535568192266226
3,crypto,0.07793664854628117
3,stablecoin,0.05748933289743652
3,bitcoin,0.03401649589895057
3,stablecoins,0.03196050249752421
3,tokenized,0.03141300978549959
3,deposits,0.02508762332561232
3,digital,0.024745132707893074
3,clients,0.023311147194608382
3,blockchain,0.021747468313038178
3,banks,0.020282502978200008
4,etf,0.121210026447344
4,etfs,0.0684760431193057
4,management,0.04624763276838671
4,asset,0.037855389218168854
4,vanguard,0.03595433799460394
4,distributions,0.03595433799460394
4,funds,0.028292705969078475
4,announces,0.027885896965080453
4,radar,0.026753337566955873
4,fund,0.020532725482098085
5,target,0.08432766973097386
5,pt,0.07101264674299856
5,price,0.06486908470087294
5,lifts,0.05711868887340103
5,cuts,0.03161346092162515
5,raised,0.0306750276769495
5,rating,0.029188941355235566
5,keeps,0.027903835239417217
5,raises,0.02123283115124054
5,neutral,0.02097795626398829
6,oil,0.14825783976054602
6,prices,0.07788366230045327
6,supply,0.05394389333739961
6,opec,0.04657568188345925
6,hormuz,0.04361378848086207
6,iran,0.04301423835968553
6,russia,0.03964889861896552
6,crude,0.03650343698313435
6,100,0.027057987450205222
6,russian,0.026628561151416204
7,dow,0.10310539388705212
7,nasdaq,0.08307726559915626
7,today,0.06393020066320046
7,500,0.06234047748753699
7,futures,0.059952812014231166
7,amp,0.035141089840924296
7,market,0.0346505094018446
7,jones,0.03007623569536643
7,slip,0.02396687781757461
7,jitters,0.021707104608305258
8,earnings,0.06987998884406431
8,beat,0.05174063613376326
8,estimates,0.05072903672541377
8,live,0.04192252546830648
